,Num,Predicted Val,Actual Val,Bias
Data0,0.0,27.062,24.0,3.062
Data1,1.0,23.11,21.6,1.51
Data2,2.0,31.141,34.7,3.559
Data3,3.0,36.673,33.4,3.273
Data4,4.0,31.141,36.2,5.059
Data5,5.0,27.062,28.7,1.638
Data6,6.0,20.348,22.9,2.552
Data7,7.0,17.49,27.1,9.61
Data8,8.0,16.756,16.5,0.256
Data9,9.0,17.49,18.9,1.41
Data10,10.0,17.49,15.0,2.49
Data11,11.0,20.348,18.9,1.448
Data12,12.0,18.754,21.7,2.946
Data13,13.0,24.254,20.4,3.854
Data14,14.0,23.11,18.2,4.91
Data15,15.0,24.254,19.9,4.354
Data16,16.0,24.275,23.1,1.175
Data17,17.0,18.754,17.5,1.254
Data18,18.0,20.348,20.2,0.148
Data19,19.0,21.017,18.2,2.817
Data20,20.0,17.49,13.6,3.89
Data21,21.0,19.639,19.6,0.039
Data22,22.0,17.49,15.2,2.29
Data23,23.0,17.49,14.5,2.99
Data24,24.0,17.818,15.6,2.218
Data25,25.0,17.818,13.9,3.918
Data26,26.0,18.754,16.6,2.154
Data27,27.0,17.49,14.8,2.69
Data28,28.0,20.348,18.4,1.948
Data29,29.0,20.348,21.0,0.652
Data30,30.0,17.49,12.7,4.79
Data31,31.0,20.348,14.5,5.848
Data32,32.0,16.756,13.2,3.556
Data33,33.0,17.49,13.1,4.39
Data34,34.0,17.49,13.5,3.99
Data35,35.0,23.11,18.9,4.21
Data36,36.0,21.017,20.0,1.017
Data37,37.0,23.11,21.0,2.11
Data38,38.0,23.11,24.7,1.59
Data39,39.0,26.795,30.8,4.005
Data40,40.0,36.405,34.9,1.505
Data41,41.0,29.242,26.6,2.642
Data42,42.0,25.904,25.3,0.604
Data43,43.0,24.254,24.7,0.446
Data44,44.0,23.11,21.2,1.91
Data45,45.0,23.11,19.3,3.81
Data46,46.0,18.754,20.0,1.246
Data47,47.0,17.49,16.6,0.89
Data48,48.0,14.98,14.4,0.58
Data49,49.0,17.818,19.4,1.582
Data50,50.0,20.348,19.7,0.648
Data51,51.0,23.11,20.5,2.61
Data52,52.0,27.062,25.0,2.062
Data53,53.0,24.254,23.4,0.854
Data54,54.0,18.754,18.9,0.146
Data55,55.0,30.874,35.4,4.526
Data56,56.0,25.637,24.7,0.937
Data57,57.0,30.874,31.6,0.726
Data58,58.0,24.275,23.3,0.975
Data59,59.0,23.11,19.6,3.51
Data60,60.0,20.348,18.7,1.648
Data61,61.0,18.754,16.0,2.754
Data62,62.0,25.174,22.2,2.974
Data63,63.0,26.652,25.0,1.652
Data64,64.0,29.784,33.0,3.216
Data65,65.0,26.795,23.5,3.295
Data66,66.0,24.472,19.4,5.072
Data67,67.0,24.254,22.0,2.254
Data68,68.0,20.348,17.4,2.948
Data69,69.0,23.11,20.9,2.21
Data70,70.0,24.275,24.2,0.075
Data71,71.0,23.11,21.7,1.41
Data72,72.0,25.904,22.8,3.104
Data73,73.0,24.254,23.4,0.854
Data74,74.0,24.275,24.1,0.175
Data75,75.0,23.11,21.4,1.71
Data76,76.0,20.348,20.0,0.348
Data77,77.0,23.11,20.8,2.31
Data78,78.0,20.348,21.2,0.852
Data79,79.0,23.11,20.3,2.81
Data80,80.0,30.874,28.0,2.874
Data81,81.0,25.615,23.9,1.715
Data82,82.0,24.275,24.8,0.525
Data83,83.0,24.254,22.9,1.354
Data84,84.0,23.11,23.9,0.79
Data85,85.0,25.174,26.6,1.426
Data86,86.0,20.348,22.5,2.152
Data87,87.0,24.254,22.2,2.054
Data88,88.0,28.983,23.6,5.383
Data89,89.0,28.983,28.7,0.283
Data90,90.0,23.11,22.6,0.51
Data91,91.0,24.254,22.0,2.254
Data92,92.0,25.615,22.9,2.715
Data93,93.0,24.275,25.0,0.725
Data94,94.0,23.11,20.6,2.51
Data95,95.0,25.174,28.4,3.226
Data96,96.0,21.017,21.4,0.383
Data97,97.0,44.158,38.7,5.458
Data98,98.0,44.158,43.8,0.358
Data99,99.0,30.705,33.2,2.495
Data100,100.0,25.291,27.5,2.209
Data101,101.0,26.434,26.5,0.066
Data102,102.0,21.99,18.6,3.39
Data103,103.0,20.348,19.3,1.048
Data104,104.0,20.348,20.1,0.248
Data105,105.0,17.818,19.5,1.682
Data106,106.0,16.799,19.5,2.701
Data107,107.0,19.639,20.4,0.761
Data108,108.0,20.348,19.8,0.548
Data109,109.0,18.754,19.4,0.646
Data110,110.0,20.348,21.7,1.352
Data111,111.0,25.291,22.8,2.491
Data112,112.0,17.818,18.8,0.982
Data113,113.0,16.799,18.7,1.901
Data114,114.0,23.11,18.5,4.61
Data115,115.0,18.754,18.3,0.454
Data116,116.0,20.348,21.2,0.852
Data117,117.0,23.11,19.2,3.91
Data118,118.0,18.754,20.4,1.646
Data119,119.0,20.348,19.3,1.048
Data120,120.0,18.754,22.0,3.246
Data121,121.0,18.754,20.3,1.546
Data122,122.0,17.49,20.5,3.01
Data123,123.0,16.756,17.3,0.544
Data124,124.0,17.49,18.8,1.31
Data125,125.0,18.754,21.4,2.646
Data126,126.0,16.756,15.7,1.056
Data127,127.0,16.799,16.2,0.599
Data128,128.0,18.754,18.0,0.754
Data129,129.0,16.799,14.3,2.499
Data130,130.0,20.348,19.2,1.148
