,Num,Predicted Val,Actual Val,Bias
Data0,0.0,27.883,24.0,3.883
Data1,1.0,23.734,21.6,2.134
Data2,2.0,28.753,34.7,5.947
Data3,3.0,28.937,33.4,4.463
Data4,4.0,31.416,36.2,4.784
Data5,5.0,27.8,28.7,0.9
Data6,6.0,21.505,22.9,1.395
Data7,7.0,19.6,27.1,7.5
Data8,8.0,18.014,16.5,1.514
Data9,9.0,19.6,18.9,0.7
Data10,10.0,19.6,15.0,4.6
Data11,11.0,21.505,18.9,2.605
Data12,12.0,20.503,21.7,1.197
Data13,13.0,22.041,20.4,1.641
Data14,14.0,20.456,18.2,2.256
Data15,15.0,21.271,19.9,1.371
Data16,16.0,22.597,23.1,0.503
Data17,17.0,19.455,17.5,1.955
Data18,18.0,20.734,20.2,0.534
Data19,19.0,21.271,18.2,3.071
Data20,20.0,18.014,13.6,4.414
Data21,21.0,19.455,19.6,0.145
Data22,22.0,18.014,15.2,2.814
Data23,23.0,18.014,14.5,3.514
Data24,24.0,18.918,15.6,3.318
Data25,25.0,18.918,13.9,5.018
Data26,26.0,18.918,16.6,2.318
Data27,27.0,18.014,14.8,3.214
Data28,28.0,20.011,18.4,1.611
Data29,29.0,22.149,21.0,1.149
Data30,30.0,18.014,12.7,5.314
Data31,31.0,19.455,14.5,4.955
Data32,32.0,18.829,13.2,5.629
Data33,33.0,18.014,13.1,4.914
Data34,34.0,18.014,13.5,4.514
Data35,35.0,22.188,18.9,3.288
Data36,36.0,22.188,20.0,2.188
Data37,37.0,22.188,21.0,1.188
Data38,38.0,22.188,24.7,2.512
Data39,39.0,27.8,30.8,3.0
Data40,40.0,26.747,34.9,8.153
Data41,41.0,27.327,26.6,0.727
Data42,42.0,22.597,25.3,2.703
Data43,43.0,22.597,24.7,2.103
Data44,44.0,22.041,21.2,0.841
Data45,45.0,22.041,19.3,2.741
Data46,46.0,20.503,20.0,0.503
Data47,47.0,18.014,16.6,1.414
Data48,48.0,18.014,14.4,3.614
Data49,49.0,20.503,19.4,1.103
Data50,50.0,21.04,19.7,1.34
Data51,51.0,22.597,20.5,2.097
Data52,52.0,26.274,25.0,1.274
Data53,53.0,22.597,23.4,0.803
Data54,54.0,18.918,18.9,0.018
Data55,55.0,26.191,35.4,9.209
Data56,56.0,25.137,24.7,0.437
Data57,57.0,25.137,31.6,6.463
Data58,58.0,22.597,23.3,0.703
Data59,59.0,22.041,19.6,2.441
Data60,60.0,19.455,18.7,0.755
Data61,61.0,19.455,16.0,3.455
Data62,62.0,22.597,22.2,0.397
Data63,63.0,24.672,25.0,0.328
Data64,64.0,29.806,33.0,3.194
Data65,65.0,25.284,23.5,1.784
Data66,66.0,22.653,19.4,3.253
Data67,67.0,22.041,22.0,0.041
Data68,68.0,20.503,17.4,3.103
Data69,69.0,22.041,20.9,1.141
Data70,70.0,22.597,24.2,1.603
Data71,71.0,22.041,21.7,0.341
Data72,72.0,22.597,22.8,0.203
Data73,73.0,22.597,23.4,0.803
Data74,74.0,22.597,24.1,1.503
Data75,75.0,22.597,21.4,1.197
Data76,76.0,22.041,20.0,2.041
Data77,77.0,22.041,20.8,1.241
Data78,78.0,21.04,21.2,0.16
Data79,79.0,22.041,20.3,1.741
Data80,80.0,28.937,28.0,0.937
Data81,81.0,27.419,23.9,3.519
Data82,82.0,22.744,24.8,2.056
Data83,83.0,22.744,22.9,0.156
Data84,84.0,25.344,23.9,1.444
Data85,85.0,28.937,26.6,2.337
Data86,86.0,21.187,22.5,1.313
Data87,87.0,22.744,22.2,0.544
Data88,88.0,31.416,23.6,7.816
Data89,89.0,31.416,28.7,2.716
Data90,90.0,25.344,22.6,2.744
Data91,91.0,25.344,22.0,3.344
Data92,92.0,22.597,22.9,0.303
Data93,93.0,22.597,25.0,2.403
Data94,94.0,22.597,20.6,1.997
Data95,95.0,28.937,28.4,0.537
Data96,96.0,22.188,21.4,0.788
Data97,97.0,39.437,38.7,0.737
Data98,98.0,39.437,43.8,4.363
Data99,99.0,37.213,33.2,4.013
Data100,100.0,22.964,27.5,4.536
Data101,101.0,25.809,26.5,0.691
Data102,102.0,21.827,18.6,3.227
Data103,103.0,20.27,19.3,0.97
Data104,104.0,20.27,20.1,0.17
Data105,105.0,19.733,19.5,0.233
Data106,106.0,18.829,19.5,0.671
Data107,107.0,20.27,20.4,0.13
Data108,108.0,20.826,19.8,1.026
Data109,109.0,20.27,19.4,0.87
Data110,110.0,20.27,21.7,1.43
Data111,111.0,23.734,22.8,0.934
Data112,112.0,20.503,18.8,1.703
Data113,113.0,19.6,18.7,0.9
Data114,114.0,22.597,18.5,4.097
Data115,115.0,20.503,18.3,2.203
Data116,116.0,22.041,21.2,0.841
Data117,117.0,22.041,19.2,2.841
Data118,118.0,20.503,20.4,0.103
Data119,119.0,20.503,19.3,1.203
Data120,120.0,21.04,22.0,0.96
Data121,121.0,21.04,20.3,0.74
Data122,122.0,17.916,20.5,2.584
Data123,123.0,16.905,17.3,0.395
Data124,124.0,17.916,18.8,0.884
Data125,125.0,20.27,21.4,1.13
Data126,126.0,16.905,15.7,1.205
Data127,127.0,17.916,16.2,1.716
Data128,128.0,20.27,18.0,2.27
Data129,129.0,17.916,14.3,3.616
Data130,130.0,20.826,19.2,1.626
Data131,131.0,20.27,19.6,0.67
Data132,132.0,21.827,23.0,1.173
Data133,133.0,19.733,18.4,1.333
Data134,134.0,17.916,15.6,2.316
Data135,135.0,20.27,18.1,2.17
Data136,136.0,19.733,17.4,2.333
Data137,137.0,20.27,17.1,3.17
Data138,138.0,17.916,13.3,4.616
Data139,139.0,17.916,17.8,0.116
Data140,140.0,17.916,14.0,3.916
Data141,141.0,16.009,14.4,1.609
Data142,142.0,19.039,13.4,5.639
Data143,143.0,16.22,15.6,0.62
Data144,144.0,14.554,11.8,2.754
Data145,145.0,16.22,13.8,2.42
Data146,146.0,19.048,15.6,3.448
Data147,147.0,14.554,14.6,0.046
Data148,148.0,15.324,17.8,2.476
Data149,149.0,17.231,15.4,1.831
Data150,150.0,20.049,21.5,1.451
Data151,151.0,17.988,19.6,1.612
Data152,152.0,18.989,15.3,3.689
