,Num,Predicted Val,Actual Val,Bias
Data0,0.0,30.411,24.0,6.411
Data1,1.0,24.227,21.6,2.627
Data2,2.0,33.703,34.7,0.997
Data3,3.0,31.429,33.4,1.971
Data4,4.0,31.577,36.2,4.623
Data5,5.0,26.505,28.7,2.195
Data6,6.0,22.875,22.9,0.025
Data7,7.0,18.112,27.1,8.988
Data8,8.0,14.865,16.5,1.635
Data9,9.0,18.924,18.9,0.024
Data10,10.0,17.894,15.0,2.894
Data11,11.0,21.966,18.9,3.066
Data12,12.0,20.204,21.7,1.496
Data13,13.0,22.147,20.4,1.747
Data14,14.0,21.054,18.2,2.854
Data15,15.0,21.806,19.9,1.906
Data16,16.0,23.344,23.1,0.244
Data17,17.0,17.902,17.5,0.402
Data18,18.0,18.429,20.2,1.771
Data19,19.0,19.682,18.2,1.482
Data20,20.0,13.416,13.6,0.184
Data21,21.0,18.533,19.6,1.067
Data22,22.0,15.612,15.2,0.412
Data23,23.0,14.269,14.5,0.231
Data24,24.0,16.546,15.6,0.946
Data25,25.0,15.525,13.9,1.625
Data26,26.0,17.296,16.6,0.696
Data27,27.0,15.76,14.8,0.96
Data28,28.0,20.644,18.4,2.244
Data29,29.0,22.12,21.0,1.12
Data30,30.0,12.871,12.7,0.171
Data31,31.0,19.254,14.5,4.754
Data32,32.0,12.214,13.2,0.986
Data33,33.0,14.895,13.1,1.795
Data34,34.0,14.042,13.5,0.542
Data35,35.0,22.808,18.9,3.908
Data36,36.0,21.063,20.0,1.063
Data37,37.0,23.228,21.0,2.228
Data38,38.0,22.517,24.7,2.183
Data39,39.0,27.232,30.8,3.568
Data40,40.0,31.137,34.9,3.763
Data41,41.0,29.706,26.6,3.106
Data42,42.0,25.717,25.3,0.417
Data43,43.0,24.683,24.7,0.017
Data44,44.0,23.399,21.2,2.199
Data45,45.0,22.143,19.3,2.843
Data46,46.0,19.443,20.0,0.557
Data47,47.0,15.761,16.6,0.839
Data48,48.0,12.704,14.4,1.696
Data49,49.0,17.003,19.4,2.397
Data50,50.0,20.363,19.7,0.663
Data51,51.0,22.793,20.5,2.293
Data52,52.0,28.303,25.0,3.303
Data53,53.0,24.323,23.4,0.923
Data54,54.0,17.157,18.9,1.743
Data55,55.0,31.567,35.4,3.833
Data56,56.0,25.071,24.7,0.371
Data57,57.0,31.936,31.6,0.336
Data58,58.0,23.356,23.3,0.056
Data59,59.0,21.491,19.6,1.891
Data60,60.0,18.481,18.7,0.219
Data61,61.0,17.728,16.0,1.728
Data62,62.0,24.47,22.2,2.27
Data63,63.0,24.084,25.0,0.916
Data64,64.0,29.089,33.0,3.911
Data65,65.0,26.204,23.5,2.704
Data66,66.0,21.763,19.4,2.363
Data67,67.0,23.01,22.0,1.01
Data68,68.0,18.794,17.4,1.394
Data69,69.0,22.497,20.9,1.597
Data70,70.0,25.048,24.2,0.848
Data71,71.0,21.651,21.7,0.049
Data72,72.0,24.767,22.8,1.967
Data73,73.0,23.892,23.4,0.492
Data74,74.0,25.094,24.1,0.994
Data75,75.0,23.435,21.4,2.035
Data76,76.0,21.091,20.0,1.091
Data77,77.0,22.241,20.8,1.441
Data78,78.0,21.28,21.2,0.08
Data79,79.0,22.512,20.3,2.212
Data80,80.0,28.176,28.0,0.176
Data81,81.0,26.3,23.9,2.4
Data82,82.0,24.93,24.8,0.13
Data83,83.0,23.982,22.9,1.082
Data84,84.0,23.652,23.9,0.248
Data85,85.0,28.332,26.6,1.732
Data86,86.0,20.82,22.5,1.68
Data87,87.0,24.4,22.2,2.2
Data88,88.0,33.289,23.6,9.689
Data89,89.0,33.739,28.7,5.039
Data90,90.0,25.461,22.6,2.861
Data91,91.0,25.919,22.0,3.919
Data92,92.0,25.352,22.9,2.452
Data93,93.0,25.947,25.0,0.947
Data94,94.0,22.7,20.6,2.1
Data95,95.0,28.991,28.4,0.591
Data96,96.0,22.149,21.4,0.749
Data97,97.0,39.047,38.7,0.347
Data98,98.0,38.426,43.8,5.374
Data99,99.0,35.14,33.2,1.94
Data100,100.0,25.224,27.5,2.276
Data101,101.0,26.725,26.5,0.225
Data102,102.0,21.277,18.6,2.677
Data103,103.0,19.574,19.3,0.274
Data104,104.0,20.561,20.1,0.461
Data105,105.0,16.769,19.5,2.731
Data106,106.0,15.343,19.5,4.157
Data107,107.0,19.17,20.4,1.23
Data108,108.0,21.641,19.8,1.841
Data109,109.0,18.279,19.4,1.121
Data110,110.0,20.253,21.7,1.447
Data111,111.0,26.583,22.8,3.783
Data112,112.0,18.838,18.8,0.038
Data113,113.0,18.613,18.7,0.087
Data114,114.0,23.545,18.5,5.045
Data115,115.0,18.967,18.3,0.667
Data116,116.0,21.813,21.2,0.613
Data117,117.0,23.379,19.2,4.179
Data118,118.0,19.19,20.4,1.21
Data119,119.0,20.509,19.3,1.209
Data120,120.0,19.424,22.0,2.576
Data121,121.0,19.645,20.3,0.655
Data122,122.0,17.326,20.5,3.174
Data123,123.0,14.881,17.3,2.419
Data124,124.0,17.347,18.8,1.453
Data125,125.0,19.298,21.4,2.102
Data126,126.0,14.519,15.7,1.181
Data127,127.0,15.588,16.2,0.612
Data128,128.0,18.757,18.0,0.757
Data129,129.0,14.898,14.3,0.598
Data130,130.0,20.879,19.2,1.679
Data131,131.0,20.608,19.6,1.008
Data132,132.0,21.675,23.0,1.325
Data133,133.0,17.269,18.4,1.131
Data134,134.0,15.104,15.6,0.496
Data135,135.0,17.301,18.1,0.799
Data136,136.0,16.199,17.4,1.201
Data137,137.0,19.405,17.1,2.305
Data138,138.0,13.723,13.3,0.423
Data139,139.0,15.846,17.8,1.954
Data140,140.0,13.696,14.0,0.304
Data141,141.0,11.918,14.4,2.482
Data142,142.0,17.322,13.4,3.922
Data143,143.0,15.319,15.6,0.281
Data144,144.0,11.853,11.8,0.053
Data145,145.0,14.674,13.8,0.874
Data146,146.0,16.569,15.6,0.969
Data147,147.0,11.869,14.6,2.731
Data148,148.0,13.624,17.8,4.176
Data149,149.0,15.905,15.4,0.505
Data150,150.0,20.674,21.5,0.826
Data151,151.0,20.318,19.6,0.718
Data152,152.0,24.847,15.3,9.547
Data153,153.0,17.827,19.4,1.573
Data154,154.0,21.108,17.0,4.108
Data155,155.0,19.935,15.6,4.335
Data156,156.0,15.988,13.1,2.888
Data157,157.0,35.496,41.3,5.804
Data158,158.0,28.366,24.3,4.066
Data159,159.0,29.397,23.3,6.097
Data160,160.0,35.24,27.0,8.24
Data161,161.0,39.567,50.0,10.433
Data162,162.0,42.271,50.0,7.729
Data163,163.0,43.882,50.0,6.118
Data164,164.0,24.129,22.7,1.429
Data165,165.0,25.546,25.0,0.546
Data166,166.0,39.946,50.0,10.054
Data167,167.0,23.014,23.8,0.786
Data168,168.0,23.976,23.8,0.176
Data169,169.0,24.055,22.3,1.755
Data170,170.0,21.393,17.4,3.993
Data171,171.0,23.653,19.1,4.553
Data172,172.0,19.9,23.1,3.2
Data173,173.0,25.923,23.6,2.323
Data174,174.0,24.655,22.6,2.055
Data175,175.0,30.59,29.4,1.19
Data176,176.0,24.539,23.2,1.339
Data177,177.0,27.453,24.6,2.853
Data178,178.0,31.094,29.9,1.194
Data179,179.0,34.088,37.2,3.112
Data180,180.0,36.708,39.8,3.092
Data181,181.0,24.349,36.2,11.851
Data182,182.0,34.992,37.9,2.908
Data183,183.0,29.645,32.5,2.855
Data184,184.0,19.67,26.4,6.73
Data185,185.0,21.566,29.6,8.034
Data186,186.0,38.874,50.0,11.126
Data187,187.0,30.577,32.0,1.423
Data188,188.0,30.07,29.8,0.27
Data189,189.0,34.687,34.9,0.213
Data190,190.0,32.401,37.0,4.599
Data191,191.0,30.094,30.5,0.406
Data192,192.0,34.736,36.4,1.664
Data193,193.0,29.598,31.1,1.502
Data194,194.0,28.801,29.1,0.299
Data195,195.0,42.417,50.0,7.583
Data196,196.0,38.732,33.3,5.432
Data197,197.0,32.669,30.3,2.369
Data198,198.0,35.807,34.6,1.207
Data199,199.0,31.65,34.9,3.25
Data200,200.0,32.685,32.9,0.215
Data201,201.0,24.884,24.1,0.784
Data202,202.0,39.47,42.3,2.83
Data203,203.0,41.56,48.5,6.94
Data204,204.0,43.356,50.0,6.644
Data205,205.0,21.868,22.6,0.732
Data206,206.0,22.158,24.4,2.242
Data207,207.0,16.575,22.5,5.925
Data208,208.0,22.796,24.4,1.604
Data209,209.0,16.171,20.0,3.829
Data210,210.0,20.131,21.7,1.569
Data211,211.0,15.837,19.3,3.463
Data212,212.0,20.564,22.4,1.836
Data213,213.0,23.836,28.1,4.264
Data214,214.0,13.645,23.7,10.055
Data215,215.0,23.22,25.0,1.78
Data216,216.0,23.598,23.3,0.298
Data217,217.0,27.015,28.7,1.685
Data218,218.0,20.512,21.5,0.988
Data219,219.0,25.712,23.0,2.712
Data220,220.0,31.32,26.7,4.62
Data221,221.0,17.692,21.7,4.008
Data222,222.0,29.356,27.5,1.856
Data223,223.0,28.334,30.1,1.766
Data224,224.0,40.689,44.8,4.111
Data225,225.0,42.27,50.0,7.73
Data226,226.0,39.968,37.6,2.368
Data227,227.0,33.443,31.6,1.843
Data228,228.0,38.169,46.7,8.531
Data229,229.0,30.557,31.5,0.943
Data230,230.0,22.366,24.3,1.934
Data231,231.0,35.193,31.7,3.493
Data232,232.0,40.783,41.7,0.917
Data233,233.0,40.01,48.3,8.29
Data234,234.0,30.569,29.0,1.569
Data235,235.0,23.359,24.0,0.641
Data236,236.0,29.817,25.1,4.717
Data237,237.0,34.895,31.5,3.395
Data238,238.0,27.635,23.7,3.935
Data239,239.0,27.503,23.3,4.203
Data240,240.0,25.75,22.0,3.75
Data241,241.0,21.659,20.1,1.559
Data242,242.0,21.845,22.2,0.355
Data243,243.0,26.674,23.7,2.974
Data244,244.0,18.606,17.6,1.006
Data245,245.0,14.251,18.5,4.249
Data246,246.0,22.247,24.3,2.053
Data247,247.0,21.142,20.5,0.642
Data248,248.0,22.418,24.5,2.082
Data249,249.0,26.442,26.2,0.242
Data250,250.0,25.937,24.4,1.537
Data251,251.0,26.568,24.8,1.768
Data252,252.0,29.606,29.6,0.006
Data253,253.0,35.885,42.8,6.915
Data254,254.0,24.038,21.9,2.138
Data255,255.0,21.815,20.9,0.915
Data256,256.0,35.858,44.0,8.142
Data257,257.0,44.428,50.0,5.572
Data258,258.0,36.579,36.0,0.579
Data259,259.0,32.072,30.1,1.972
Data260,260.0,34.777,33.8,0.977
Data261,261.0,38.108,43.1,4.992
Data262,262.0,43.0,48.8,5.8
Data263,263.0,34.058,31.0,3.058
Data264,264.0,35.786,36.5,0.714
Data265,265.0,24.969,22.8,2.169
Data266,266.0,26.785,30.7,3.915
Data267,267.0,42.241,50.0,7.759
Data268,268.0,41.009,43.5,2.491
Data269,269.0,22.646,20.7,1.946
Data270,270.0,20.428,21.1,0.672
Data271,271.0,25.39,25.2,0.19
Data272,272.0,26.55,24.4,2.15
Data273,273.0,35.982,35.2,0.782
Data274,274.0,33.018,32.4,0.618
Data275,275.0,30.804,32.0,1.196
Data276,276.0,34.283,33.2,1.083
Data277,277.0,33.103,33.1,0.003
Data278,278.0,27.001,29.1,2.099
Data279,279.0,32.976,35.1,2.124
Data280,280.0,40.782,45.4,4.618
Data281,281.0,35.594,35.4,0.194
Data282,282.0,42.105,46.0,3.895
Data283,283.0,45.281,50.0,4.719
Data284,284.0,30.205,32.2,1.995
Data285,285.0,24.937,22.0,2.937
Data286,286.0,19.375,20.1,0.725
Data287,287.0,24.56,23.2,1.36
Data288,288.0,24.518,22.3,2.218
Data289,289.0,24.894,24.8,0.094
Data290,290.0,28.164,28.5,0.336
Data291,291.0,28.973,37.3,8.327
Data292,292.0,26.404,27.9,1.496
Data293,293.0,24.131,23.9,0.231
Data294,294.0,23.349,21.7,1.649
Data295,295.0,28.389,28.6,0.211
Data296,296.0,27.082,27.1,0.018
Data297,297.0,19.194,20.3,1.106
Data298,298.0,26.526,22.5,4.026
Data299,299.0,32.423,29.0,3.423
Data300,300.0,29.32,24.8,4.52
Data301,301.0,26.486,22.0,4.486
Data302,302.0,26.65,26.4,0.25
Data303,303.0,32.966,33.1,0.134
Data304,304.0,31.099,36.1,5.001
Data305,305.0,26.254,28.4,2.146
Data306,306.0,32.905,33.4,0.495
Data307,307.0,28.421,28.2,0.221
Data308,308.0,28.999,22.8,6.199
Data309,309.0,23.026,20.3,2.726
Data310,310.0,18.738,16.1,2.638
Data311,311.0,26.301,22.1,4.201
Data312,312.0,21.842,19.4,2.442
Data313,313.0,24.939,21.6,3.339
Data314,314.0,25.642,23.8,1.842
Data315,315.0,20.912,16.2,4.712
Data316,316.0,16.817,17.8,0.983
