,Num,Predicted Val,Actual Val,Bias
Data0,0.0,26.348,24.0,2.348
Data1,1.0,23.955,21.6,2.355
Data2,2.0,32.899,34.7,1.801
Data3,3.0,30.511,33.4,2.889
Data4,4.0,32.899,36.2,3.301
Data5,5.0,23.955,28.7,4.745
Data6,6.0,21.2,22.9,1.7
Data7,7.0,20.324,27.1,6.776
Data8,8.0,19.508,16.5,3.008
Data9,9.0,21.0,18.9,2.1
Data10,10.0,19.508,15.0,4.508
Data11,11.0,21.0,18.9,2.1
Data12,12.0,21.0,21.7,0.7
Data13,13.0,23.025,20.4,2.625
Data14,14.0,20.89,18.2,2.69
Data15,15.0,23.025,19.9,3.125
Data16,16.0,23.025,23.1,0.075
Data17,17.0,18.175,17.5,0.675
Data18,18.0,19.432,20.2,0.768
Data19,19.0,19.432,18.2,1.232
Data20,20.0,16.163,13.6,2.563
Data21,21.0,17.5,19.6,2.1
Data22,22.0,16.98,15.2,1.78
Data23,23.0,16.98,14.5,2.48
Data24,24.0,17.5,15.6,1.9
Data25,25.0,18.175,13.9,4.275
Data26,26.0,17.5,16.6,0.9
Data27,27.0,17.5,14.8,2.7
Data28,28.0,20.042,18.4,1.642
Data29,29.0,20.176,21.0,0.824
Data30,30.0,16.163,12.7,3.463
Data31,31.0,18.757,14.5,4.257
Data32,32.0,15.505,13.2,2.305
Data33,33.0,16.98,13.1,3.88
Data34,34.0,16.163,13.5,2.663
Data35,35.0,23.34,18.9,4.44
Data36,36.0,21.2,20.0,1.2
Data37,37.0,23.955,21.0,2.955
Data38,38.0,21.821,24.7,2.879
Data39,39.0,26.348,30.8,4.452
Data40,40.0,30.511,34.9,4.389
Data41,41.0,30.511,26.6,3.911
Data42,42.0,23.955,25.3,1.345
Data43,43.0,23.955,24.7,0.745
Data44,44.0,23.34,21.2,2.14
Data45,45.0,21.821,19.3,2.521
Data46,46.0,21.0,20.0,1.0
Data47,47.0,21.0,16.6,4.4
Data48,48.0,19.508,14.4,5.108
Data49,49.0,21.0,19.4,1.6
Data50,50.0,21.0,19.7,1.3
Data51,51.0,23.955,20.5,3.455
Data52,52.0,26.348,25.0,1.348
Data53,53.0,23.955,23.4,0.555
Data54,54.0,19.896,18.9,0.996
Data55,55.0,35.981,35.4,0.581
Data56,56.0,23.955,24.7,0.745
Data57,57.0,30.511,31.6,1.089
Data58,58.0,23.955,23.3,0.655
Data59,59.0,23.955,19.6,4.355
Data60,60.0,19.896,18.7,1.196
Data61,61.0,19.221,16.0,3.221
Data62,62.0,23.955,22.2,1.755
Data63,63.0,26.859,25.0,1.859
Data64,64.0,32.899,33.0,0.101
Data65,65.0,23.955,23.5,0.455
Data66,66.0,21.821,19.4,2.421
Data67,67.0,23.955,22.0,1.955
Data68,68.0,19.896,17.4,2.496
Data69,69.0,23.955,20.9,3.055
Data70,70.0,23.955,24.2,0.245
Data71,71.0,22.175,21.7,0.475
Data72,72.0,23.955,22.8,1.155
Data73,73.0,24.31,23.4,0.91
Data74,74.0,24.31,24.1,0.21
Data75,75.0,24.31,21.4,2.91
Data76,76.0,20.096,20.0,0.096
Data77,77.0,22.175,20.8,1.375
Data78,78.0,20.096,21.2,1.104
Data79,79.0,24.31,20.3,4.01
Data80,80.0,28.642,28.0,0.642
Data81,81.0,26.348,23.9,2.448
Data82,82.0,23.955,24.8,0.845
Data83,83.0,23.955,22.9,1.055
Data84,84.0,23.34,23.9,0.56
Data85,85.0,26.348,26.6,0.252
Data86,86.0,21.2,22.5,1.3
Data87,87.0,23.955,22.2,1.755
Data88,88.0,30.511,23.6,6.911
Data89,89.0,32.899,28.7,4.199
Data90,90.0,23.955,22.6,1.355
Data91,91.0,23.955,22.0,1.955
Data92,92.0,23.955,22.9,1.055
Data93,93.0,23.955,25.0,1.045
Data94,94.0,21.821,20.6,1.221
Data95,95.0,26.348,28.4,2.052
Data96,96.0,21.2,21.4,0.2
Data97,97.0,41.531,38.7,2.831
Data98,98.0,40.564,43.8,3.236
Data99,99.0,34.208,33.2,1.008
Data100,100.0,25.928,27.5,1.572
Data101,101.0,27.711,26.5,1.211
Data102,102.0,20.89,18.6,2.29
Data103,103.0,18.175,19.3,1.125
Data104,104.0,18.757,20.1,1.343
Data105,105.0,17.5,19.5,2.0
Data106,106.0,16.98,19.5,2.52
Data107,107.0,18.175,20.4,2.225
Data108,108.0,20.042,19.8,0.242
Data109,109.0,17.5,19.4,1.9
Data110,110.0,19.432,21.7,2.268
Data111,111.0,25.339,22.8,2.539
Data112,112.0,20.324,18.8,1.524
Data113,113.0,20.324,18.7,1.624
Data114,114.0,22.175,18.5,3.675
Data115,115.0,19.221,18.3,0.921
Data116,116.0,21.2,21.2,0.0
Data117,117.0,21.821,19.2,2.621
Data118,118.0,19.896,20.4,0.504
Data119,119.0,19.896,19.3,0.596
Data120,120.0,19.279,22.0,2.721
Data121,121.0,19.279,20.3,1.021
Data122,122.0,18.603,20.5,1.897
Data123,123.0,17.787,17.3,0.487
Data124,124.0,18.603,18.8,0.197
Data125,125.0,18.603,21.4,2.797
Data126,126.0,16.454,15.7,0.754
Data127,127.0,17.5,16.2,1.3
Data128,128.0,17.5,18.0,0.5
Data129,129.0,16.141,14.3,1.841
Data130,130.0,18.757,19.2,0.443
Data131,131.0,18.757,19.6,0.843
Data132,132.0,18.757,23.0,4.243
Data133,133.0,17.5,18.4,0.9
Data134,134.0,17.5,15.6,1.9
Data135,135.0,17.5,18.1,0.6
Data136,136.0,17.5,17.4,0.1
Data137,137.0,17.5,17.1,0.4
Data138,138.0,14.252,13.3,0.952
Data139,139.0,16.141,17.8,1.659
Data140,140.0,14.252,14.0,0.252
Data141,141.0,12.919,14.4,1.481
Data142,142.0,17.787,13.4,4.387
Data143,143.0,16.454,15.6,0.854
Data144,144.0,16.454,11.8,4.654
Data145,145.0,14.83,13.8,1.03
Data146,146.0,17.5,15.6,1.9
Data147,147.0,16.454,14.6,1.854
Data148,148.0,16.454,17.8,1.346
Data149,149.0,17.787,15.4,2.387
Data150,150.0,18.603,21.5,2.897
Data151,151.0,18.603,19.6,0.997
