,Num,Predicted Val,Actual Val,Bias
Data0,0.0,27.359,24.0,3.359
Data1,1.0,22.51,21.6,0.91
Data2,2.0,30.719,34.7,3.981
Data3,3.0,32.773,33.4,0.627
Data4,4.0,30.719,36.2,5.481
Data5,5.0,27.359,28.7,1.341
Data6,6.0,22.51,22.9,0.39
Data7,7.0,19.948,27.1,7.152
Data8,8.0,17.727,16.5,1.227
Data9,9.0,19.948,18.9,1.048
Data10,10.0,19.948,15.0,4.948
Data11,11.0,22.51,18.9,3.61
Data12,12.0,21.827,21.7,0.127
Data13,13.0,21.221,20.4,0.821
Data14,14.0,21.221,18.2,3.021
Data15,15.0,21.827,19.9,1.927
Data16,16.0,23.44,23.1,0.34
Data17,17.0,21.221,17.5,3.721
Data18,18.0,19.265,20.2,0.935
Data19,19.0,21.221,18.2,3.021
Data20,20.0,18.276,13.6,4.676
Data21,21.0,21.221,19.6,1.621
Data22,22.0,18.658,15.2,3.458
Data23,23.0,18.658,14.5,4.158
Data24,24.0,21.221,15.6,5.621
Data25,25.0,18.276,13.9,4.376
Data26,26.0,21.221,16.6,4.621
Data27,27.0,18.658,14.8,3.858
Data28,28.0,21.221,18.4,2.821
Data29,29.0,23.548,21.0,2.548
Data30,30.0,18.658,12.7,5.958
Data31,31.0,21.221,14.5,6.721
Data32,32.0,14.908,13.2,1.708
Data33,33.0,18.658,13.1,5.558
Data34,34.0,18.658,13.5,5.158
Data35,35.0,21.827,18.9,2.927
Data36,36.0,21.827,20.0,1.827
Data37,37.0,21.827,21.0,0.827
Data38,38.0,21.827,24.7,2.873
Data39,39.0,30.451,30.8,0.349
Data40,40.0,32.773,34.9,2.127
Data41,41.0,28.397,26.6,1.797
Data42,42.0,24.123,25.3,1.177
Data43,43.0,24.123,24.7,0.577
Data44,44.0,22.51,21.2,1.31
Data45,45.0,21.827,19.3,2.527
Data46,46.0,21.827,20.0,1.827
Data47,47.0,19.948,16.6,3.348
Data48,48.0,17.727,14.4,3.327
Data49,49.0,21.827,19.4,2.427
Data50,50.0,21.827,19.7,2.127
Data51,51.0,22.51,20.5,2.01
Data52,52.0,27.491,25.0,2.491
Data53,53.0,22.51,23.4,0.89
Data54,54.0,21.827,18.9,2.927
Data55,55.0,32.773,35.4,2.627
Data56,56.0,27.491,24.7,2.791
Data57,57.0,30.451,31.6,1.149
Data58,58.0,24.123,23.3,0.823
Data59,59.0,21.827,19.6,2.227
Data60,60.0,21.827,18.7,3.127
Data61,61.0,21.221,16.0,5.221
Data62,62.0,25.614,22.2,3.414
Data63,63.0,23.548,25.0,1.452
Data64,64.0,25.87,33.0,7.13
Data65,65.0,27.491,23.5,3.991
Data66,66.0,21.827,19.4,2.427
Data67,67.0,21.827,22.0,0.173
Data68,68.0,21.827,17.4,4.427
Data69,69.0,21.827,20.9,0.927
Data70,70.0,24.254,24.2,0.054
Data71,71.0,21.827,21.7,0.127
Data72,72.0,27.491,22.8,4.691
Data73,73.0,24.123,23.4,0.723
Data74,74.0,24.123,24.1,0.023
Data75,75.0,22.51,21.4,1.11
Data76,76.0,22.51,20.0,2.51
Data77,77.0,22.51,20.8,1.71
Data78,78.0,22.51,21.2,1.31
Data79,79.0,21.827,20.3,1.527
Data80,80.0,30.451,28.0,2.451
Data81,81.0,25.161,23.9,1.261
Data82,82.0,25.614,24.8,0.814
Data83,83.0,24.123,22.9,1.223
Data84,84.0,22.51,23.9,1.39
Data85,85.0,25.161,26.6,1.439
Data86,86.0,22.51,22.5,0.01
Data87,87.0,22.51,22.2,0.31
Data88,88.0,30.719,23.6,7.119
Data89,89.0,30.719,28.7,2.019
Data90,90.0,22.51,22.6,0.09
Data91,91.0,22.51,22.0,0.51
Data92,92.0,22.51,22.9,0.39
Data93,93.0,25.614,25.0,0.614
Data94,94.0,22.51,20.6,1.91
Data95,95.0,25.161,28.4,3.239
Data96,96.0,22.51,21.4,1.11
Data97,97.0,43.96,38.7,5.26
Data98,98.0,43.96,43.8,0.16
Data99,99.0,28.973,33.2,4.227
Data100,100.0,23.548,27.5,3.952
Data101,101.0,23.548,26.5,2.952
Data102,102.0,18.658,18.6,0.058
Data103,103.0,21.221,19.3,1.921
Data104,104.0,21.221,20.1,1.121
Data105,105.0,19.75,19.5,0.25
Data106,106.0,18.658,19.5,0.842
Data107,107.0,21.221,20.4,0.821
Data108,108.0,21.221,19.8,1.421
Data109,109.0,21.221,19.4,1.821
Data110,110.0,22.51,21.7,0.81
Data111,111.0,23.548,22.8,0.748
Data112,112.0,21.827,18.8,3.027
Data113,113.0,19.948,18.7,1.248
Data114,114.0,22.51,18.5,4.01
Data115,115.0,19.265,18.3,0.965
Data116,116.0,22.51,21.2,1.31
Data117,117.0,22.51,19.2,3.31
Data118,118.0,19.265,20.4,1.135
Data119,119.0,21.827,19.3,2.527
Data120,120.0,21.827,22.0,0.173
Data121,121.0,22.51,20.3,2.21
Data122,122.0,18.658,20.5,1.842
Data123,123.0,13.876,17.3,3.424
Data124,124.0,18.658,18.8,0.142
Data125,125.0,21.221,21.4,0.179
Data126,126.0,13.494,15.7,2.206
Data127,127.0,18.276,16.2,2.076
Data128,128.0,21.221,18.0,3.221
Data129,129.0,16.739,14.3,2.439
Data130,130.0,21.221,19.2,2.021
Data131,131.0,21.221,19.6,1.621
Data132,132.0,21.221,23.0,1.779
Data133,133.0,21.221,18.4,2.821
Data134,134.0,18.658,15.6,3.058
Data135,135.0,18.658,18.1,0.558
Data136,136.0,18.658,17.4,1.258
Data137,137.0,21.221,17.1,4.121
Data138,138.0,14.908,13.3,1.608
Data139,139.0,16.044,17.8,1.756
Data140,140.0,14.908,14.0,0.908
Data141,141.0,14.526,14.4,0.126
