,Num,Predicted Val,Actual Val,Bias
Data0,0.0,23.73,24.0,0.27
Data1,1.0,22.855,21.6,1.255
Data2,2.0,40.036,34.7,5.336
Data3,3.0,38.092,33.4,4.692
Data4,4.0,31.513,36.2,4.687
Data5,5.0,23.73,28.7,4.97
Data6,6.0,22.855,22.9,0.045
Data7,7.0,19.71,27.1,7.39
Data8,8.0,16.336,16.5,0.164
Data9,9.0,19.71,18.9,0.81
Data10,10.0,19.71,15.0,4.71
Data11,11.0,20.769,18.9,1.869
Data12,12.0,21.396,21.7,0.304
Data13,13.0,23.176,20.4,2.776
Data14,14.0,21.005,18.2,2.805
Data15,15.0,23.176,19.9,3.276
Data16,16.0,23.176,23.1,0.076
Data17,17.0,18.408,17.5,0.908
Data18,18.0,21.005,20.2,0.805
Data19,19.0,21.005,18.2,2.805
Data20,20.0,16.437,13.6,2.837
Data21,21.0,18.408,19.6,1.192
Data22,22.0,17.86,15.2,2.66
Data23,23.0,17.86,14.5,3.36
Data24,24.0,17.86,15.6,2.26
Data25,25.0,17.86,13.9,3.96
Data26,26.0,18.408,16.6,1.808
Data27,27.0,17.86,14.8,3.06
Data28,28.0,19.911,18.4,1.511
Data29,29.0,22.764,21.0,1.764
Data30,30.0,16.437,12.7,3.737
Data31,31.0,18.918,14.5,4.418
Data32,32.0,16.437,13.2,3.237
Data33,33.0,17.86,13.1,4.76
Data34,34.0,17.86,13.5,4.36
Data35,35.0,22.737,18.9,3.837
Data36,36.0,21.862,20.0,1.862
Data37,37.0,24.033,21.0,3.033
Data38,38.0,21.862,24.7,2.838
Data39,39.0,27.203,30.8,3.597
Data40,40.0,40.036,34.9,5.136
Data41,41.0,28.056,26.6,1.456
Data42,42.0,23.253,25.3,2.047
Data43,43.0,23.253,24.7,1.447
Data44,44.0,22.855,21.2,1.655
Data45,45.0,22.737,19.3,3.437
Data46,46.0,20.077,20.0,0.077
Data47,47.0,19.71,16.6,3.11
Data48,48.0,15.343,14.4,0.943
Data49,49.0,18.717,19.4,0.683
Data50,50.0,21.58,19.7,1.88
Data51,51.0,22.855,20.5,2.355
Data52,52.0,24.973,25.0,0.027
Data53,53.0,23.73,23.4,0.33
Data54,54.0,19.402,18.9,0.502
Data55,55.0,34.443,35.4,0.957
Data56,56.0,24.497,24.7,0.203
Data57,57.0,30.453,31.6,1.147
Data58,58.0,23.639,23.3,0.339
Data59,59.0,22.873,19.6,3.273
Data60,60.0,19.911,18.7,1.211
Data61,61.0,19.402,16.0,3.402
Data62,62.0,24.116,22.2,1.916
Data63,63.0,24.116,25.0,0.884
Data64,64.0,27.024,33.0,5.976
Data65,65.0,24.285,23.5,0.785
Data66,66.0,23.73,19.4,4.33
Data67,67.0,23.73,22.0,1.73
Data68,68.0,21.58,17.4,4.18
Data69,69.0,23.73,20.9,2.83
Data70,70.0,23.253,24.2,0.947
Data71,71.0,22.855,21.7,1.155
Data72,72.0,23.73,22.8,0.93
Data73,73.0,23.253,23.4,0.147
Data74,74.0,23.253,24.1,0.847
Data75,75.0,22.855,21.4,1.455
Data76,76.0,21.051,20.0,1.051
Data77,77.0,21.862,20.8,1.062
Data78,78.0,22.044,21.2,0.844
Data79,79.0,22.737,20.3,2.437
Data80,80.0,26.172,28.0,1.828
Data81,81.0,25.307,23.9,1.407
Data82,82.0,23.253,24.8,1.547
Data83,83.0,23.253,22.9,0.353
Data84,84.0,22.855,23.9,1.045
Data85,85.0,25.307,26.6,1.293
Data86,86.0,20.586,22.5,1.914
Data87,87.0,23.557,22.2,1.357
Data88,88.0,29.132,23.6,5.532
Data89,89.0,29.132,28.7,0.432
Data90,90.0,23.158,22.6,0.558
Data91,91.0,23.557,22.0,1.557
Data92,92.0,23.253,22.9,0.353
Data93,93.0,23.557,25.0,1.443
Data94,94.0,21.862,20.6,1.262
Data95,95.0,25.307,28.4,3.093
Data96,96.0,21.862,21.4,0.462
Data97,97.0,41.67,38.7,2.97
Data98,98.0,41.67,43.8,2.13
Data99,99.0,33.457,33.2,0.257
Data100,100.0,22.764,27.5,4.736
Data101,101.0,25.315,26.5,1.185
Data102,102.0,20.194,18.6,1.594
Data103,103.0,18.918,19.3,0.382
Data104,104.0,20.194,20.1,0.094
Data105,105.0,17.86,19.5,1.64
Data106,106.0,17.86,19.5,1.64
Data107,107.0,18.408,20.4,1.992
Data108,108.0,20.194,19.8,0.394
Data109,109.0,17.86,19.4,1.54
Data110,110.0,19.729,21.7,1.971
Data111,111.0,21.051,22.8,1.749
Data112,112.0,18.717,18.8,0.083
Data113,113.0,18.717,18.7,0.017
Data114,114.0,21.051,18.5,2.551
Data115,115.0,18.717,18.3,0.417
Data116,116.0,21.051,21.2,0.149
Data117,117.0,21.051,19.2,1.851
Data118,118.0,18.717,20.4,1.683
Data119,119.0,19.775,19.3,0.475
Data120,120.0,20.077,22.0,1.923
Data121,121.0,20.077,20.3,0.223
Data122,122.0,20.403,20.5,0.097
Data123,123.0,16.437,17.3,0.863
Data124,124.0,18.717,18.8,0.083
Data125,125.0,20.077,21.4,1.323
Data126,126.0,16.437,15.7,0.737
Data127,127.0,17.86,16.2,1.66
Data128,128.0,17.86,18.0,0.14
Data129,129.0,17.86,14.3,3.56
Data130,130.0,20.194,19.2,0.994
Data131,131.0,20.194,19.6,0.594
Data132,132.0,20.194,23.0,2.806
Data133,133.0,18.408,18.4,0.008
Data134,134.0,17.86,15.6,2.26
Data135,135.0,17.86,18.1,0.24
Data136,136.0,17.86,17.4,0.46
Data137,137.0,18.408,17.1,1.308
Data138,138.0,17.86,13.3,4.56
Data139,139.0,17.86,17.8,0.06
Data140,140.0,17.86,14.0,3.86
Data141,141.0,15.343,14.4,0.943
Data142,142.0,20.491,13.4,7.091
Data143,143.0,20.491,15.6,4.891
Data144,144.0,16.437,11.8,4.637
Data145,145.0,18.717,13.8,4.917
Data146,146.0,20.403,15.6,4.803
Data147,147.0,16.437,14.6,1.837
Data148,148.0,20.491,17.8,2.691
Data149,149.0,24.891,15.4,9.491
Data150,150.0,20.077,21.5,1.423
Data151,151.0,20.586,19.6,0.986
Data152,152.0,21.862,15.3,6.562
Data153,153.0,20.403,19.4,1.003
Data154,154.0,20.077,17.0,3.077
Data155,155.0,20.077,15.6,4.477
Data156,156.0,20.403,13.1,7.303
Data157,157.0,36.897,41.3,4.403
Data158,158.0,24.033,24.3,0.267
Data159,159.0,24.033,23.3,0.733
Data160,160.0,23.557,27.0,3.443
Data161,161.0,39.607,50.0,10.393
Data162,162.0,39.607,50.0,10.393
Data163,163.0,41.67,50.0,8.33
Data164,164.0,21.051,22.7,1.649
Data165,165.0,21.862,25.0,3.138
Data166,166.0,41.67,50.0,8.33
Data167,167.0,21.862,23.8,1.938
Data168,168.0,21.051,23.8,2.749
Data169,169.0,21.051,22.3,1.249
Data170,170.0,19.266,17.4,1.866
Data171,171.0,21.051,19.1,1.951
Data172,172.0,19.266,23.1,3.834
Data173,173.0,21.862,23.6,1.738
Data174,174.0,22.737,22.6,0.137
Data175,175.0,24.033,29.4,5.367
Data176,176.0,21.862,23.2,1.338
Data177,177.0,23.557,24.6,1.043
Data178,178.0,26.172,29.9,3.728
Data179,179.0,29.132,37.2,8.068
Data180,180.0,33.457,39.8,6.343
Data181,181.0,21.862,36.2,14.338
Data182,182.0,36.029,37.9,1.871
Data183,183.0,24.033,32.5,8.467
Data184,184.0,19.266,26.4,7.134
Data185,185.0,20.586,29.6,9.014
Data186,186.0,40.036,50.0,9.964
Data187,187.0,26.172,32.0,5.828
Data188,188.0,24.761,29.8,5.039
Data189,189.0,31.513,34.9,3.387
Data190,190.0,30.815,37.0,6.185
Data191,191.0,28.056,30.5,2.444
Data192,192.0,40.036,36.4,3.636
Data193,193.0,27.024,31.1,4.076
Data194,194.0,29.267,29.1,0.167
Data195,195.0,41.67,50.0,8.33
Data196,196.0,40.036,33.3,6.736
Data197,197.0,25.839,30.3,4.461
Data198,198.0,31.513,34.6,3.087
Data199,199.0,32.98,34.9,1.92
Data200,200.0,38.092,32.9,5.192
Data201,201.0,23.253,24.1,0.847
Data202,202.0,40.036,42.3,2.264
Data203,203.0,41.67,48.5,6.83
Data204,204.0,41.67,50.0,8.33
Data205,205.0,21.862,22.6,0.738
Data206,206.0,22.855,24.4,1.545
Data207,207.0,18.717,22.5,3.783
Data208,208.0,20.077,24.4,4.323
Data209,209.0,15.343,20.0,4.657
Data210,210.0,18.717,21.7,2.983
Data211,211.0,16.437,19.3,2.863
Data212,212.0,20.403,22.4,1.997
Data213,213.0,22.855,28.1,5.245
Data214,214.0,24.891,23.7,1.191
Data215,215.0,21.862,25.0,3.138
Data216,216.0,20.586,23.3,2.714
Data217,217.0,25.307,28.7,3.393
Data218,218.0,18.717,21.5,2.783
Data219,219.0,21.862,23.0,1.138
Data220,220.0,23.621,26.7,3.079
Data221,221.0,18.717,21.7,2.983
Data222,222.0,25.307,27.5,2.193
Data223,223.0,25.307,30.1,4.793
Data224,224.0,41.67,44.8,3.13
Data225,225.0,39.273,50.0,10.727
Data226,226.0,41.67,37.6,4.07
Data227,227.0,29.132,31.6,2.468
Data228,228.0,40.036,46.7,6.664
Data229,229.0,27.203,31.5,4.297
Data230,230.0,21.862,24.3,2.438
Data231,231.0,37.639,31.7,5.939
Data232,232.0,41.67,41.7,0.03
Data233,233.0,41.67,48.3,6.63
Data234,234.0,25.307,29.0,3.693
Data235,235.0,21.862,24.0,2.138
Data236,236.0,25.307,25.1,0.207
Data237,237.0,37.639,31.5,6.139
Data238,238.0,23.73,23.7,0.03
Data239,239.0,24.973,23.3,1.673
Data240,240.0,24.098,22.0,2.098
Data241,241.0,22.044,20.1,1.944
Data242,242.0,24.098,22.2,1.898
Data243,243.0,25.528,23.7,1.828
Data244,244.0,22.044,17.6,4.444
Data245,245.0,19.71,18.5,1.21
Data246,246.0,24.098,24.3,0.202
Data247,247.0,23.287,20.5,2.787
Data248,248.0,24.098,24.5,0.402
