,Num,Predicted Val,Actual Val,Bias
Data0,0.0,31.773,24.0,7.773
Data1,1.0,24.519,21.6,2.919
Data2,2.0,31.771,34.7,2.929
Data3,3.0,31.771,33.4,1.629
Data4,4.0,31.771,36.2,4.429
Data5,5.0,26.768,28.7,1.932
Data6,6.0,21.872,22.9,1.028
Data7,7.0,20.604,27.1,6.496
Data8,8.0,17.793,16.5,1.293
Data9,9.0,21.872,18.9,2.972
Data10,10.0,20.604,15.0,5.604
Data11,11.0,21.872,18.9,2.972
Data12,12.0,21.872,21.7,0.172
Data13,13.0,21.31,20.4,0.91
Data14,14.0,21.66,18.2,3.46
Data15,15.0,21.31,19.9,1.41
Data16,16.0,24.058,23.1,0.958
Data17,17.0,21.31,17.5,3.81
Data18,18.0,20.576,20.2,0.376
Data19,19.0,21.31,18.2,3.11
Data20,20.0,17.678,13.6,4.078
Data21,21.0,21.31,19.6,1.71
Data22,22.0,18.762,15.2,3.562
Data23,23.0,18.412,14.5,3.912
Data24,24.0,21.31,15.6,5.71
Data25,25.0,19.295,13.9,5.395
Data26,26.0,21.31,16.6,4.71
Data27,27.0,19.295,14.8,4.495
Data28,28.0,21.66,18.4,3.26
Data29,29.0,21.66,21.0,0.66
Data30,30.0,17.678,12.7,4.978
Data31,31.0,21.66,14.5,7.16
Data32,32.0,17.678,13.2,4.478
Data33,33.0,17.678,13.1,4.578
Data34,34.0,17.678,13.5,4.178
Data35,35.0,21.578,18.9,2.678
Data36,36.0,21.578,20.0,1.578
Data37,37.0,24.17,21.0,3.17
Data38,38.0,21.578,24.7,3.122
Data39,39.0,31.771,30.8,0.971
Data40,40.0,31.771,34.9,3.129
Data41,41.0,31.771,26.6,5.171
Data42,42.0,26.768,25.3,1.468
Data43,43.0,26.768,24.7,2.068
Data44,44.0,23.896,21.2,2.696
Data45,45.0,23.546,19.3,4.246
Data46,46.0,21.578,20.0,1.578
Data47,47.0,21.578,16.6,4.978
Data48,48.0,19.225,14.4,4.825
Data49,49.0,21.578,19.4,2.178
Data50,50.0,22.181,19.7,2.481
Data51,51.0,23.896,20.5,3.396
Data52,52.0,26.768,25.0,1.768
Data53,53.0,24.17,23.4,0.77
Data54,54.0,20.516,18.9,1.616
Data55,55.0,31.596,35.4,3.804
Data56,56.0,24.519,24.7,0.181
Data57,57.0,31.773,31.6,0.173
Data58,58.0,24.519,23.3,1.219
Data59,59.0,21.578,19.6,1.978
Data60,60.0,21.578,18.7,2.878
Data61,61.0,21.578,16.0,5.578
Data62,62.0,24.519,22.2,2.319
Data63,63.0,23.053,25.0,1.947
Data64,64.0,31.596,33.0,1.404
Data65,65.0,24.519,23.5,1.019
Data66,66.0,22.181,19.4,2.781
Data67,67.0,22.201,22.0,0.201
Data68,68.0,21.578,17.4,4.178
Data69,69.0,21.578,20.9,0.678
Data70,70.0,24.519,24.2,0.319
Data71,71.0,21.578,21.7,0.122
Data72,72.0,24.519,22.8,1.719
Data73,73.0,24.519,23.4,1.119
Data74,74.0,23.154,24.1,0.946
Data75,75.0,22.53,21.4,1.13
Data76,76.0,22.53,20.0,2.53
Data77,77.0,22.53,20.8,1.73
Data78,78.0,22.53,21.2,1.33
Data79,79.0,22.181,20.3,1.881
Data80,80.0,31.771,28.0,3.771
Data81,81.0,26.807,23.9,2.907
Data82,82.0,24.519,24.8,0.281
Data83,83.0,24.519,22.9,1.619
Data84,84.0,25.022,23.9,1.122
Data85,85.0,31.771,26.6,5.171
Data86,86.0,21.578,22.5,0.922
Data87,87.0,24.519,22.2,2.319
Data88,88.0,31.771,23.6,8.171
Data89,89.0,31.771,28.7,3.071
Data90,90.0,24.519,22.6,1.919
Data91,91.0,24.519,22.0,2.519
Data92,92.0,24.519,22.9,1.619
Data93,93.0,26.768,25.0,1.768
Data94,94.0,22.53,20.6,1.93
Data95,95.0,29.523,28.4,1.123
Data96,96.0,21.927,21.4,0.527
