,Num,Predicted Val,Actual Val,Bias
Data0,0.0,27.748,24.0,3.748
Data1,1.0,23.601,21.6,2.001
Data2,2.0,30.981,34.7,3.719
Data3,3.0,30.981,33.4,2.419
Data4,4.0,30.981,36.2,5.219
Data5,5.0,23.601,28.7,5.099
Data6,6.0,22.889,22.9,0.011
Data7,7.0,20.758,27.1,6.342
Data8,8.0,15.748,16.5,0.752
Data9,9.0,21.211,18.9,2.311
Data10,10.0,19.554,15.0,4.554
Data11,11.0,21.44,18.9,2.54
Data12,12.0,20.168,21.7,1.532
Data13,13.0,22.889,20.4,2.489
Data14,14.0,23.601,18.2,5.401
Data15,15.0,21.845,19.9,1.945
Data16,16.0,22.889,23.1,0.211
Data17,17.0,21.44,17.5,3.94
Data18,18.0,22.87,20.2,2.67
Data19,19.0,20.396,18.2,2.196
Data20,20.0,16.235,13.6,2.635
Data21,21.0,21.44,19.6,1.84
Data22,22.0,20.758,15.2,5.558
Data23,23.0,19.715,14.5,5.215
Data24,24.0,20.168,15.6,4.568
Data25,25.0,19.715,13.9,5.815
Data26,26.0,20.168,16.6,3.568
Data27,27.0,22.915,14.8,8.115
Data28,28.0,23.601,18.4,5.201
Data29,29.0,25.758,21.0,4.758
Data30,30.0,16.235,12.7,3.535
Data31,31.0,23.601,14.5,9.101
Data32,32.0,15.931,13.2,2.731
Data33,33.0,19.715,13.1,6.615
Data34,34.0,21.711,13.5,8.211
Data35,35.0,22.889,18.9,3.989
Data36,36.0,20.396,20.0,0.396
Data37,37.0,21.845,21.0,0.845
Data38,38.0,22.889,24.7,1.811
Data39,39.0,29.25,30.8,1.55
Data40,40.0,30.981,34.9,3.919
Data41,41.0,29.25,26.6,2.65
Data42,42.0,23.601,25.3,1.699
Data43,43.0,23.601,24.7,1.099
Data44,44.0,22.889,21.2,1.689
Data45,45.0,20.396,19.3,1.096
Data46,46.0,20.606,20.0,0.606
Data47,47.0,21.196,16.6,4.596
Data48,48.0,16.186,14.4,1.786
Data49,49.0,20.152,19.4,0.752
Data50,50.0,21.44,19.7,1.74
Data51,51.0,22.889,20.5,2.389
Data52,52.0,25.758,25.0,0.758
Data53,53.0,22.889,23.4,0.511
Data54,54.0,18.329,18.9,0.571
Data55,55.0,30.981,35.4,4.419
Data56,56.0,23.601,24.7,1.099
Data57,57.0,30.981,31.6,0.619
Data58,58.0,22.889,23.3,0.411
Data59,59.0,22.889,19.6,3.289
Data60,60.0,21.048,18.7,2.348
Data61,61.0,21.44,16.0,5.44
Data62,62.0,23.601,22.2,1.401
Data63,63.0,27.748,25.0,2.748
Data64,64.0,29.25,33.0,3.75
Data65,65.0,23.601,23.5,0.101
Data66,66.0,21.845,19.4,2.445
Data67,67.0,21.845,22.0,0.155
Data68,68.0,20.168,17.4,2.768
Data69,69.0,21.845,20.9,0.945
Data70,70.0,23.601,24.2,0.599
Data71,71.0,22.889,21.7,1.189
Data72,72.0,22.889,22.8,0.089
Data73,73.0,23.601,23.4,0.201
Data74,74.0,22.908,24.1,1.192
Data75,75.0,22.908,21.4,1.508
Data76,76.0,22.908,20.0,2.908
Data77,77.0,22.908,20.8,2.108
Data78,78.0,22.908,21.2,1.708
Data79,79.0,21.153,20.3,0.853
Data80,80.0,29.25,28.0,1.25
Data81,81.0,27.748,23.9,3.848
Data82,82.0,23.601,24.8,1.199
Data83,83.0,23.601,22.9,0.701
Data84,84.0,23.601,23.9,0.299
Data85,85.0,27.748,26.6,1.148
Data86,86.0,21.44,22.5,1.06
Data87,87.0,22.889,22.2,0.689
Data88,88.0,30.981,23.6,7.381
Data89,89.0,30.981,28.7,2.281
Data90,90.0,23.601,22.6,1.001
Data91,91.0,23.601,22.0,1.601
Data92,92.0,23.601,22.9,0.701
Data93,93.0,23.601,25.0,1.399
Data94,94.0,23.601,20.6,3.001
Data95,95.0,23.601,28.4,4.799
Data96,96.0,23.601,21.4,2.201
Data97,97.0,41.58,38.7,2.88
Data98,98.0,41.58,43.8,2.22
Data99,99.0,30.981,33.2,2.219
Data100,100.0,27.055,27.5,0.445
Data101,101.0,27.055,26.5,0.555
Data102,102.0,22.196,18.6,3.596
Data103,103.0,21.743,19.3,2.443
Data104,104.0,22.908,20.1,2.808
Data105,105.0,19.022,19.5,0.478
Data106,106.0,19.022,19.5,0.478
Data107,107.0,20.294,20.4,0.106
Data108,108.0,22.908,19.8,3.108
Data109,109.0,20.294,19.4,0.894
Data110,110.0,21.743,21.7,0.043
Data111,111.0,25.909,22.8,3.109
Data112,112.0,17.876,18.8,0.924
Data113,113.0,18.919,18.7,0.219
Data114,114.0,21.762,18.5,3.262
Data115,115.0,18.919,18.3,0.619
Data116,116.0,20.597,21.2,0.603
Data117,117.0,21.05,19.2,1.85
Data118,118.0,17.876,20.4,2.524
Data119,119.0,17.876,19.3,1.424
Data120,120.0,20.152,22.0,1.848
Data121,121.0,20.986,20.3,0.686
Data122,122.0,21.196,20.5,0.696
Data123,123.0,16.673,17.3,0.627
Data124,124.0,20.152,18.8,1.352
Data125,125.0,20.986,21.4,0.414
Data126,126.0,16.186,15.7,0.486
Data127,127.0,17.876,16.2,1.676
Data128,128.0,20.597,18.0,2.597
Data129,129.0,16.746,14.3,2.446
Data130,130.0,20.597,19.2,1.397
Data131,131.0,20.597,19.6,0.997
Data132,132.0,21.762,23.0,1.238
Data133,133.0,17.876,18.4,0.524
Data134,134.0,17.876,15.6,2.276
Data135,135.0,19.148,18.1,1.048
Data136,136.0,18.919,17.4,1.519
Data137,137.0,20.597,17.1,3.497
Data138,138.0,15.542,13.3,2.242
Data139,139.0,18.919,17.8,1.119
Data140,140.0,15.238,14.0,1.238
Data141,141.0,15.055,14.4,0.655
Data142,142.0,18.828,13.4,5.428
Data143,143.0,15.055,15.6,0.545
Data144,144.0,15.055,11.8,3.255
Data145,145.0,15.238,13.8,1.438
Data146,146.0,19.022,15.6,3.422
Data147,147.0,15.055,14.6,0.455
Data148,148.0,15.055,17.8,2.745
Data149,149.0,15.542,15.4,0.142
Data150,150.0,20.294,21.5,1.206
Data151,151.0,19.022,19.6,0.578
Data152,152.0,21.386,15.3,6.086
Data153,153.0,19.022,19.4,0.378
Data154,154.0,21.733,17.0,4.733
Data155,155.0,23.89,15.6,8.29
Data156,156.0,16.746,13.1,3.646
Data157,157.0,27.506,41.3,13.794
Data158,158.0,22.908,24.3,1.392
Data159,159.0,22.908,23.3,0.392
Data160,160.0,22.908,27.0,4.092
Data161,161.0,42.149,50.0,7.851
Data162,162.0,42.149,50.0,7.851
Data163,163.0,42.149,50.0,7.851
Data164,164.0,20.689,22.7,2.011
Data165,165.0,25.339,25.0,0.339
Data166,166.0,44.484,50.0,5.516
Data167,167.0,19.25,23.8,4.55
Data168,168.0,23.182,23.8,0.618
Data169,169.0,23.182,22.3,0.882
Data170,170.0,19.022,17.4,1.622
Data171,171.0,19.25,19.1,0.15
Data172,172.0,20.594,23.1,2.506
Data173,173.0,23.601,23.6,0.001
Data174,174.0,22.831,22.6,0.231
Data175,175.0,23.601,29.4,5.799
Data176,176.0,23.875,23.2,0.675
Data177,177.0,23.601,24.6,0.999
Data178,178.0,29.25,29.9,0.65
Data179,179.0,30.981,37.2,6.219
Data180,180.0,33.315,39.8,6.485
Data181,181.0,23.875,36.2,12.325
Data182,182.0,30.981,37.9,6.919
Data183,183.0,27.748,32.5,4.752
Data184,184.0,20.152,26.4,6.248
Data185,185.0,22.436,29.6,7.164
Data186,186.0,41.58,50.0,8.42
Data187,187.0,27.055,32.0,4.945
Data188,188.0,22.908,29.8,6.892
Data189,189.0,30.981,34.9,3.919
Data190,190.0,30.981,37.0,6.019
Data191,191.0,27.055,30.5,3.445
Data192,192.0,30.981,36.4,5.419
Data193,193.0,29.25,31.1,1.85
Data194,194.0,25.103,29.1,3.997
Data195,195.0,41.58,50.0,8.42
Data196,196.0,30.981,33.3,2.319
Data197,197.0,25.377,30.3,4.923
Data198,198.0,30.981,34.6,3.619
Data199,199.0,30.981,34.9,3.919
Data200,200.0,30.981,32.9,1.919
Data201,201.0,22.889,24.1,1.211
Data202,202.0,39.246,42.3,3.054
Data203,203.0,41.58,48.5,6.92
Data204,204.0,42.071,50.0,7.929
Data205,205.0,22.831,22.6,0.231
Data206,206.0,23.875,24.4,0.525
Data207,207.0,20.594,22.5,1.906
Data208,208.0,22.426,24.4,1.974
Data209,209.0,20.401,20.0,0.401
Data210,210.0,23.077,21.7,1.377
Data211,211.0,20.401,19.3,1.101
Data212,212.0,23.077,22.4,0.677
Data213,213.0,23.875,28.1,4.225
Data214,214.0,16.628,23.7,7.072
Data215,215.0,23.875,25.0,1.125
Data216,216.0,22.426,23.3,0.874
Data217,217.0,26.032,28.7,2.668
Data218,218.0,21.73,21.5,0.23
Data219,219.0,23.875,23.0,0.875
Data220,220.0,26.032,26.7,0.668
Data221,221.0,22.589,21.7,0.889
Data222,222.0,26.032,27.5,1.468
Data223,223.0,26.032,30.1,4.068
