,Num,Predicted Val,Actual Val,Bias
Data0,0.0,28.455,24.0,4.455
Data1,1.0,23.758,21.6,2.158
Data2,2.0,34.495,34.7,0.205
Data3,3.0,34.495,33.4,1.095
Data4,4.0,29.763,36.2,6.437
Data5,5.0,28.455,28.7,0.245
Data6,6.0,20.985,22.9,1.915
Data7,7.0,20.242,27.1,6.858
Data8,8.0,19.001,16.5,2.501
Data9,9.0,19.893,18.9,0.993
Data10,10.0,20.242,15.0,5.242
Data11,11.0,20.141,18.9,1.241
Data12,12.0,19.893,21.7,1.807
Data13,13.0,22.517,20.4,2.117
Data14,14.0,21.233,18.2,3.033
Data15,15.0,22.269,19.9,2.369
Data16,16.0,23.79,23.1,0.69
Data17,17.0,19.893,17.5,2.393
Data18,18.0,21.413,20.2,1.213
Data19,19.0,20.985,18.2,2.785
Data20,20.0,18.33,13.6,4.73
Data21,21.0,20.141,19.6,0.541
Data22,22.0,20.242,15.2,5.042
Data23,23.0,19.001,14.5,4.501
Data24,24.0,20.141,15.6,4.541
Data25,25.0,17.753,13.9,3.853
Data26,26.0,19.47,16.6,2.87
Data27,27.0,17.753,14.8,2.953
Data28,28.0,21.382,18.4,2.982
Data29,29.0,22.474,21.0,1.474
Data30,30.0,16.862,12.7,4.162
Data31,31.0,19.47,14.5,4.97
Data32,32.0,16.862,13.2,3.662
Data33,33.0,16.862,13.1,3.762
Data34,34.0,16.862,13.5,3.362
Data35,35.0,22.517,18.9,3.617
Data36,36.0,20.985,20.0,0.985
Data37,37.0,22.269,21.0,1.269
Data38,38.0,22.269,24.7,2.431
Data39,39.0,26.311,30.8,4.489
Data40,40.0,30.7,34.9,4.2
Data41,41.0,26.311,26.6,0.289
Data42,42.0,26.311,25.3,1.011
Data43,43.0,23.51,24.7,1.19
Data44,44.0,22.269,21.2,1.069
Data45,45.0,22.269,19.3,2.969
Data46,46.0,19.893,20.0,0.107
Data47,47.0,19.001,16.6,2.401
Data48,48.0,19.001,14.4,4.601
Data49,49.0,19.893,19.4,0.493
Data50,50.0,19.893,19.7,0.193
Data51,51.0,22.517,20.5,2.017
Data52,52.0,26.311,25.0,1.311
Data53,53.0,22.269,23.4,1.131
Data54,54.0,19.893,18.9,0.993
Data55,55.0,28.505,35.4,6.895
Data56,56.0,26.311,24.7,1.611
Data57,57.0,33.493,31.6,1.893
Data58,58.0,25.031,23.3,1.731
Data59,59.0,22.269,19.6,2.669
Data60,60.0,19.893,18.7,1.193
Data61,61.0,20.141,16.0,4.141
Data62,62.0,27.175,22.2,4.975
Data63,63.0,23.51,25.0,1.49
Data64,64.0,27.261,33.0,5.739
Data65,65.0,26.311,23.5,2.811
Data66,66.0,20.985,19.4,1.585
Data67,67.0,22.269,22.0,0.269
Data68,68.0,19.893,17.4,2.493
Data69,69.0,22.269,20.9,1.369
Data70,70.0,24.218,24.2,0.018
Data71,71.0,22.697,21.7,0.997
Data72,72.0,25.499,22.8,2.699
Data73,73.0,24.218,23.4,0.818
Data74,74.0,24.218,24.1,0.118
Data75,75.0,22.697,21.4,1.297
Data76,76.0,21.413,20.0,1.413
Data77,77.0,22.697,20.8,1.897
Data78,78.0,21.413,21.2,0.213
Data79,79.0,22.697,20.3,2.397
Data80,80.0,26.311,28.0,1.689
Data81,81.0,27.175,23.9,3.275
Data82,82.0,25.031,24.8,0.231
Data83,83.0,25.031,22.9,2.131
Data84,84.0,23.51,23.9,0.39
Data85,85.0,27.175,26.6,0.575
Data86,86.0,20.637,22.5,1.863
Data87,87.0,22.517,22.2,0.317
Data88,88.0,28.455,23.6,4.855
Data89,89.0,28.455,28.7,0.245
Data90,90.0,23.758,22.6,1.158
Data91,91.0,23.758,22.0,1.758
Data92,92.0,24.841,22.9,1.941
Data93,93.0,25.499,25.0,0.499
Data94,94.0,21.662,20.6,1.062
Data95,95.0,27.175,28.4,1.225
Data96,96.0,22.474,21.4,1.074
Data97,97.0,41.559,38.7,2.859
Data98,98.0,41.703,43.8,2.097
Data99,99.0,29.763,33.2,3.437
Data100,100.0,23.758,27.5,3.742
Data101,101.0,27.175,26.5,0.675
Data102,102.0,24.253,18.6,5.653
Data103,103.0,21.878,19.3,2.578
Data104,104.0,22.474,20.1,2.374
Data105,105.0,20.637,19.5,1.137
Data106,106.0,19.746,19.5,0.246
Data107,107.0,20.637,20.4,0.237
Data108,108.0,22.474,19.8,2.674
Data109,109.0,21.878,19.4,2.478
Data110,110.0,21.878,21.7,0.178
Data111,111.0,23.51,22.8,0.71
Data112,112.0,19.221,18.8,0.421
Data113,113.0,18.33,18.7,0.37
Data114,114.0,21.413,18.5,2.913
Data115,115.0,17.753,18.3,0.547
Data116,116.0,22.226,21.2,1.026
Data117,117.0,22.269,19.2,3.069
Data118,118.0,19.65,20.4,0.75
Data119,119.0,19.221,19.3,0.079
Data120,120.0,20.979,22.0,1.021
Data121,121.0,20.979,20.3,0.679
Data122,122.0,18.191,20.5,2.309
Data123,123.0,17.943,17.3,0.643
Data124,124.0,18.191,18.8,0.609
Data125,125.0,20.979,21.4,0.421
Data126,126.0,17.943,15.7,2.243
Data127,127.0,17.753,16.2,1.553
Data128,128.0,19.65,18.0,1.65
Data129,129.0,17.753,14.3,3.453
Data130,130.0,21.662,19.2,2.462
Data131,131.0,21.662,19.6,2.062
Data132,132.0,21.662,23.0,1.338
Data133,133.0,19.65,18.4,1.25
Data134,134.0,17.753,15.6,2.153
Data135,135.0,17.753,18.1,0.347
Data136,136.0,17.753,17.4,0.353
Data137,137.0,19.65,17.1,2.55
Data138,138.0,16.862,13.3,3.562
Data139,139.0,16.862,17.8,0.938
Data140,140.0,16.862,14.0,2.862
Data141,141.0,15.803,14.4,1.403
Data142,142.0,15.803,13.4,2.403
Data143,143.0,15.803,15.6,0.203
Data144,144.0,15.803,11.8,4.003
Data145,145.0,15.803,13.8,2.003
Data146,146.0,16.694,15.6,1.094
Data147,147.0,15.803,14.6,1.203
Data148,148.0,15.803,17.8,1.997
Data149,149.0,15.803,15.4,0.403
Data150,150.0,19.898,21.5,1.602
Data151,151.0,19.898,19.6,0.298
Data152,152.0,21.413,15.3,6.113
