,Num,Predicted Val,Actual Val,Bias
Data0,0.0,26.394,24.0,2.394
Data1,1.0,22.928,21.6,1.328
Data2,2.0,33.54,34.7,1.16
Data3,3.0,33.54,33.4,0.14
Data4,4.0,30.786,36.2,5.414
Data5,5.0,27.476,28.7,1.224
Data6,6.0,22.04,22.9,0.86
Data7,7.0,18.53,27.1,8.57
Data8,8.0,16.287,16.5,0.213
Data9,9.0,18.53,18.9,0.37
Data10,10.0,17.416,15.0,2.416
Data11,11.0,22.04,18.9,3.14
Data12,12.0,18.53,21.7,3.17
Data13,13.0,22.34,20.4,1.94
Data14,14.0,21.465,18.2,3.265
Data15,15.0,22.34,19.9,2.44
Data16,16.0,22.34,23.1,0.76
Data17,17.0,21.134,17.5,3.634
Data18,18.0,18.566,20.2,1.634
Data19,19.0,21.134,18.2,2.934
Data20,20.0,17.279,13.6,3.679
Data21,21.0,21.134,19.6,1.534
Data22,22.0,16.668,15.2,1.468
Data23,23.0,16.668,14.5,2.168
Data24,24.0,17.955,15.6,2.355
Data25,25.0,16.668,13.9,2.768
Data26,26.0,17.955,16.6,1.355
Data27,27.0,16.668,14.8,1.868
Data28,28.0,21.465,18.4,3.065
Data29,29.0,22.353,21.0,1.353
Data30,30.0,15.554,12.7,2.854
Data31,31.0,21.465,14.5,6.965
Data32,32.0,15.554,13.2,2.354
Data33,33.0,17.279,13.1,4.179
Data34,34.0,17.279,13.5,3.779
Data35,35.0,22.34,18.9,3.44
Data36,36.0,21.465,20.0,1.465
Data37,37.0,22.34,21.0,1.34
Data38,38.0,21.465,24.7,3.235
Data39,39.0,28.041,30.8,2.759
Data40,40.0,29.704,34.9,5.196
Data41,41.0,29.123,26.6,2.523
Data42,42.0,24.01,25.3,1.29
Data43,43.0,22.928,24.7,1.772
Data44,44.0,22.04,21.2,0.84
Data45,45.0,22.04,19.3,2.74
Data46,46.0,19.958,20.0,0.042
Data47,47.0,18.53,16.6,1.93
Data48,48.0,16.287,14.4,1.887
Data49,49.0,17.401,19.4,1.999
Data50,50.0,22.04,19.7,2.34
Data51,51.0,22.04,20.5,1.54
Data52,52.0,26.394,25.0,1.394
Data53,53.0,22.04,23.4,1.36
Data54,54.0,17.522,18.9,1.378
Data55,55.0,29.704,35.4,5.696
Data56,56.0,24.029,24.7,0.671
Data57,57.0,29.704,31.6,1.896
Data58,58.0,22.353,23.3,0.947
Data59,59.0,21.866,19.6,2.266
Data60,60.0,21.535,18.7,2.835
Data61,61.0,20.702,16.0,4.702
Data62,62.0,23.454,22.2,1.254
Data63,63.0,23.855,25.0,1.145
Data64,64.0,28.041,33.0,4.959
Data65,65.0,24.029,23.5,0.529
Data66,66.0,22.04,19.4,2.64
Data67,67.0,22.04,22.0,0.04
Data68,68.0,18.53,17.4,1.13
Data69,69.0,22.04,20.9,1.14
Data70,70.0,24.329,24.2,0.129
Data71,71.0,22.34,21.7,0.64
Data72,72.0,24.31,22.8,1.51
Data73,73.0,23.228,23.4,0.172
Data74,74.0,24.029,24.1,0.071
Data75,75.0,22.928,21.4,1.528
Data76,76.0,22.04,20.0,2.04
Data77,77.0,22.04,20.8,1.24
Data78,78.0,22.04,21.2,0.84
Data79,79.0,22.04,20.3,1.74
Data80,80.0,28.041,28.0,0.041
Data81,81.0,26.394,23.9,2.494
Data82,82.0,24.029,24.8,0.771
Data83,83.0,22.928,22.9,0.028
Data84,84.0,22.928,23.9,0.972
Data85,85.0,26.394,26.6,0.206
Data86,86.0,22.04,22.5,0.46
Data87,87.0,22.04,22.2,0.16
Data88,88.0,30.786,23.6,7.186
Data89,89.0,30.786,28.7,2.086
Data90,90.0,22.928,22.6,0.328
Data91,91.0,24.029,22.0,2.029
Data92,92.0,24.029,22.9,1.129
Data93,93.0,24.029,25.0,0.971
Data94,94.0,22.04,20.6,1.44
Data95,95.0,26.394,28.4,2.006
Data96,96.0,22.04,21.4,0.64
Data97,97.0,43.767,38.7,5.067
Data98,98.0,43.035,43.8,0.765
Data99,99.0,30.786,33.2,2.414
Data100,100.0,24.329,27.5,3.171
Data101,101.0,24.329,26.5,2.171
Data102,102.0,21.465,18.6,2.865
Data103,103.0,21.465,19.3,2.165
Data104,104.0,21.465,20.1,1.365
Data105,105.0,16.446,19.5,3.054
Data106,106.0,17.279,19.5,2.221
Data107,107.0,21.465,20.4,1.065
Data108,108.0,21.465,19.8,1.665
Data109,109.0,21.465,19.4,2.065
Data110,110.0,21.465,21.7,0.235
Data111,111.0,23.951,22.8,1.151
Data112,112.0,17.41,18.8,1.39
Data113,113.0,18.551,18.7,0.149
Data114,114.0,21.963,18.5,3.463
Data115,115.0,17.41,18.3,0.89
Data116,116.0,21.963,21.2,0.763
Data117,117.0,21.963,19.2,2.763
Data118,118.0,18.243,20.4,2.157
Data119,119.0,20.491,19.3,1.191
Data120,120.0,21.134,22.0,0.866
Data121,121.0,21.134,20.3,0.834
Data122,122.0,18.967,20.5,1.533
Data123,123.0,16.898,17.3,0.402
Data124,124.0,18.967,18.8,0.167
Data125,125.0,21.134,21.4,0.266
Data126,126.0,16.898,15.7,1.198
Data127,127.0,17.279,16.2,1.079
Data128,128.0,21.465,18.0,3.465
Data129,129.0,17.279,14.3,2.979
Data130,130.0,21.465,19.2,2.265
Data131,131.0,21.465,19.6,1.865
Data132,132.0,21.465,23.0,1.535
Data133,133.0,18.566,18.4,0.166
Data134,134.0,16.446,15.6,0.846
Data135,135.0,20.178,18.1,2.078
