,Num,Predicted Val,Actual Val,Bias
Data0,0.0,5.083,24.0,18.917
Data1,1.0,16.47,21.6,5.13
Data2,2.0,16.47,34.7,18.23
Data3,3.0,6.053,33.4,27.347
Data4,4.0,6.053,36.2,30.147
Data5,5.0,6.053,28.7,22.647
Data6,6.0,22.931,22.9,0.031
Data7,7.0,24.539,27.1,2.561
Data8,8.0,25.082,16.5,8.582
Data9,9.0,27.185,18.9,8.285
Data10,10.0,26.173,15.0,11.173
Data11,11.0,25.678,18.9,6.778
Data12,12.0,22.479,21.7,0.779
Data13,13.0,20.616,20.4,0.216
Data14,14.0,19.54,18.2,1.34
Data15,15.0,19.701,19.9,0.199
Data16,16.0,19.701,23.1,3.399
Data17,17.0,18.647,17.5,1.147
Data18,18.0,16.626,20.2,3.574
Data19,19.0,16.626,18.2,1.574
Data20,20.0,16.632,13.6,3.032
Data21,21.0,17.571,19.6,2.029
Data22,22.0,17.416,15.2,2.216
Data23,23.0,17.934,14.5,3.434
Data24,24.0,19.267,15.6,3.667
Data25,25.0,19.508,13.9,5.608
Data26,26.0,20.504,16.6,3.904
Data27,27.0,19.503,14.8,4.703
Data28,28.0,19.509,18.4,1.109
Data29,29.0,18.564,21.0,2.436
Data30,30.0,18.538,12.7,5.838
Data31,31.0,18.284,14.5,3.784
Data32,32.0,17.473,13.2,4.273
Data33,33.0,16.585,13.1,3.485
Data34,34.0,16.465,13.5,2.965
Data35,35.0,9.994,18.9,8.906
Data36,36.0,10.046,20.0,9.954
Data37,37.0,11.7,21.0,9.3
Data38,38.0,11.442,24.7,13.258
Data39,39.0,6.819,30.8,23.981
Data40,40.0,6.819,34.9,28.081
Data41,41.0,17.71,26.6,8.89
Data42,42.0,17.71,25.3,7.59
Data43,43.0,17.71,24.7,6.99
Data44,44.0,17.71,21.2,3.49
Data45,45.0,15.789,19.3,3.511
Data46,46.0,15.789,20.0,4.211
Data47,47.0,17.613,16.6,1.013
Data48,48.0,18.172,14.4,3.772
Data49,49.0,18.846,19.4,0.554
Data50,50.0,16.873,19.7,2.827
Data51,51.0,16.873,20.5,3.627
Data52,52.0,16.873,25.0,8.127
Data53,53.0,16.873,23.4,6.527
Data54,54.0,12.004,18.9,6.896
Data55,55.0,4.276,35.4,31.124
Data56,56.0,2.788,24.7,21.912
Data57,57.0,4.516,31.6,27.084
Data58,58.0,18.161,23.3,5.139
Data59,59.0,16.109,19.6,3.491
Data60,60.0,16.791,18.7,1.909
Data61,61.0,15.845,16.0,0.155
Data62,62.0,16.791,22.2,5.409
Data63,63.0,18.547,25.0,6.453
Data64,64.0,5.296,33.0,27.704
Data65,65.0,8.868,23.5,14.632
Data66,66.0,8.868,19.4,10.532
Data67,67.0,16.132,22.0,5.868
Data68,68.0,16.132,17.4,1.268
Data69,69.0,16.132,20.9,4.768
Data70,70.0,23.605,24.2,0.595
Data71,71.0,23.605,21.7,1.905
Data72,72.0,23.605,22.8,0.805
Data73,73.0,23.605,23.4,0.205
Data74,74.0,23.837,24.1,0.263
Data75,75.0,25.245,21.4,3.845
Data76,76.0,22.72,20.0,2.72
Data77,77.0,22.934,20.8,2.134
Data78,78.0,28.113,21.2,6.913
Data79,79.0,25.245,20.3,4.945
Data80,80.0,11.181,28.0,16.819
Data81,81.0,11.181,23.9,12.719
Data82,82.0,11.181,24.8,13.619
Data83,83.0,11.181,22.9,11.719
Data84,84.0,9.635,23.9,14.265
Data85,85.0,8.946,26.6,17.654
Data86,86.0,8.925,22.5,13.575
Data87,87.0,7.555,22.2,14.645
Data88,88.0,5.706,23.6,17.894
Data89,89.0,5.694,28.7,23.006
Data90,90.0,5.156,22.6,17.444
Data91,91.0,5.156,22.0,16.844
Data92,92.0,25.583,22.9,2.683
Data93,93.0,25.583,25.0,0.583
Data94,94.0,25.227,20.6,4.627
Data95,95.0,4.495,28.4,23.905
Data96,96.0,4.495,21.4,16.905
Data97,97.0,4.495,38.7,34.205
Data98,98.0,4.495,43.8,39.305
Data99,99.0,4.495,33.2,28.705
Data100,100.0,12.365,27.5,15.135
Data101,101.0,12.713,26.5,13.787
Data102,102.0,12.084,18.6,6.516
Data103,103.0,12.084,19.3,7.216
Data104,104.0,10.776,20.1,9.324
Data105,105.0,9.378,19.5,10.122
Data106,106.0,9.842,19.5,9.658
Data107,107.0,9.447,20.4,10.953
Data108,108.0,10.829,19.8,8.971
Data109,109.0,11.329,19.4,8.071
Data110,110.0,12.365,21.7,9.335
Data111,111.0,14.661,22.8,8.139
Data112,112.0,12.886,18.8,5.914
Data113,113.0,13.951,18.7,4.749
Data114,114.0,12.355,18.5,6.145
Data115,115.0,13.487,18.3,4.813
Data116,116.0,14.949,21.2,6.251
Data117,117.0,15.043,19.2,4.157
Data118,118.0,13.565,20.4,6.835
Data119,119.0,15.108,19.3,4.192
Data120,120.0,33.646,22.0,11.646
Data121,121.0,32.747,20.3,12.447
Data122,122.0,31.1,20.5,10.6
Data123,123.0,28.977,17.3,11.677
Data124,124.0,29.899,18.8,11.099
Data125,125.0,29.699,21.4,8.299
Data126,126.0,26.187,15.7,10.487
Data127,127.0,24.427,16.2,8.227
Data128,128.0,24.758,18.0,6.758
Data129,129.0,27.044,14.3,12.744
Data130,130.0,28.937,19.2,9.737
Data131,131.0,31.02,19.6,11.42
Data132,132.0,31.791,23.0,8.791
Data133,133.0,33.737,18.4,15.337
Data134,134.0,32.045,15.6,16.445
Data135,135.0,28.831,18.1,10.731
Data136,136.0,26.867,17.4,9.467
Data137,137.0,25.267,17.1,8.167
Data138,138.0,22.792,13.3,9.492
Data139,139.0,22.793,17.8,4.993
Data140,140.0,22.018,14.0,8.018
Data141,141.0,19.661,14.4,5.261
Data142,142.0,22.539,13.4,9.139
Data143,143.0,24.077,15.6,8.477
Data144,144.0,22.953,11.8,11.153
Data145,145.0,24.202,13.8,10.402
Data146,146.0,25.864,15.6,10.264
Data147,147.0,24.913,14.6,10.313
Data148,148.0,26.086,17.8,8.286
Data149,149.0,26.02,15.4,10.62
Data150,150.0,27.594,21.5,6.094
Data151,151.0,27.143,19.6,7.543
Data152,152.0,27.461,15.3,12.161
Data153,153.0,27.682,19.4,8.282
Data154,154.0,29.835,17.0,12.835
Data155,155.0,29.768,15.6,14.168
Data156,156.0,29.613,13.1,16.513
Data157,157.0,22.238,41.3,19.062
Data158,158.0,20.817,24.3,3.483
Data159,159.0,30.116,23.3,6.816
Data160,160.0,21.304,27.0,5.696
Data161,161.0,23.347,50.0,26.653
Data162,162.0,24.174,50.0,25.826
Data163,163.0,25.611,50.0,24.389
Data164,164.0,28.691,22.7,5.991
Data165,165.0,27.049,25.0,2.049
Data166,166.0,24.236,50.0,25.764
Data167,167.0,28.737,23.8,4.937
Data168,168.0,24.876,23.8,1.076
Data169,169.0,26.801,22.3,4.501
Data170,170.0,28.737,17.4,11.337
Data171,171.0,28.296,19.1,9.196
Data172,172.0,5.362,23.1,17.738
Data173,173.0,5.466,23.6,18.134
Data174,174.0,5.581,22.6,17.019
Data175,175.0,6.47,29.4,22.93
Data176,176.0,7.343,23.2,15.857
Data177,177.0,6.852,24.6,17.748
Data178,178.0,6.022,29.9,23.878
Data179,179.0,3.396,37.2,33.804
Data180,180.0,3.291,39.8,36.509
Data181,181.0,3.119,36.2,33.081
Data182,182.0,3.242,37.9,34.658
Data183,183.0,3.418,32.5,29.082
Data184,184.0,3.587,26.4,22.813
Data185,185.0,3.937,29.6,25.663
Data186,186.0,3.841,50.0,46.159
Data187,187.0,5.695,32.0,26.305
Data188,188.0,6.865,29.8,22.935
Data189,189.0,6.865,34.9,28.035
Data190,190.0,9.741,37.0,27.259
Data191,191.0,9.741,30.5,20.759
Data192,192.0,9.741,36.4,26.659
Data193,193.0,7.308,31.1,23.792
Data194,194.0,7.308,29.1,21.792
Data195,195.0,1.096,50.0,48.904
Data196,196.0,4.488,33.3,28.812
Data197,197.0,4.488,30.3,25.812
Data198,198.0,4.488,34.6,30.112
Data199,199.0,4.534,34.9,30.366
Data200,200.0,4.534,32.9,28.366
Data201,201.0,5.282,24.1,18.818
Data202,202.0,5.282,42.3,37.018
Data203,203.0,5.707,48.5,42.793
Data204,204.0,5.707,50.0,44.293
