,Num,Predicted Val,Actual Val,Bias
Data0,0.0,26.45,24.0,2.45
Data1,1.0,23.407,21.6,1.807
Data2,2.0,29.499,34.7,5.201
Data3,3.0,30.424,33.4,2.976
Data4,4.0,29.499,36.2,6.701
Data5,5.0,24.89,28.7,3.81
Data6,6.0,21.98,22.9,0.92
Data7,7.0,20.772,27.1,6.328
Data8,8.0,20.772,16.5,4.272
Data9,9.0,20.772,18.9,1.872
Data10,10.0,22.576,15.0,7.576
Data11,11.0,20.772,18.9,1.872
Data12,12.0,20.772,21.7,0.928
Data13,13.0,20.547,20.4,0.147
Data14,14.0,20.547,18.2,2.347
Data15,15.0,20.547,19.9,0.647
Data16,16.0,22.031,23.1,1.069
Data17,17.0,18.036,17.5,0.536
Data18,18.0,20.547,20.2,0.347
Data19,19.0,20.547,18.2,2.347
Data20,20.0,16.523,13.6,2.923
Data21,21.0,18.036,19.6,1.564
Data22,22.0,16.523,15.2,1.323
Data23,23.0,16.523,14.5,2.023
Data24,24.0,18.036,15.6,2.436
Data25,25.0,18.036,13.9,4.136
Data26,26.0,18.036,16.6,1.436
Data27,27.0,18.036,14.8,3.236
Data28,28.0,22.351,18.4,3.951
Data29,29.0,22.351,21.0,1.351
Data30,30.0,16.523,12.7,3.823
Data31,31.0,20.547,14.5,6.047
Data32,32.0,13.938,13.2,0.738
Data33,33.0,16.523,13.1,3.423
Data34,34.0,15.356,13.5,1.856
Data35,35.0,21.603,18.9,2.703
Data36,36.0,21.603,20.0,1.603
Data37,37.0,21.603,21.0,0.603
Data38,38.0,21.603,24.7,3.097
Data39,39.0,24.89,30.8,5.91
Data40,40.0,33.438,34.9,1.462
Data41,41.0,26.073,26.6,0.527
Data42,42.0,23.629,25.3,1.671
Data43,43.0,22.146,24.7,2.554
Data44,44.0,22.146,21.2,0.946
Data45,45.0,22.146,19.3,2.846
Data46,46.0,20.937,20.0,0.937
Data47,47.0,19.425,16.6,2.825
Data48,48.0,19.425,14.4,5.025
Data49,49.0,20.937,19.4,1.537
Data50,50.0,21.315,19.7,1.615
Data51,51.0,22.523,20.5,2.023
Data52,52.0,25.267,25.0,0.267
Data53,53.0,22.523,23.4,0.877
Data54,54.0,18.579,18.9,0.321
Data55,55.0,30.681,35.4,4.719
Data56,56.0,25.267,24.7,0.567
Data57,57.0,30.477,31.6,1.123
Data58,58.0,22.574,23.3,0.726
Data59,59.0,21.09,19.6,1.49
Data60,60.0,19.882,18.7,1.182
Data61,61.0,19.882,16.0,3.882
Data62,62.0,23.834,22.2,1.634
Data63,63.0,22.351,25.0,2.649
Data64,64.0,28.015,33.0,4.985
Data65,65.0,24.007,23.5,0.507
Data66,66.0,22.523,19.4,3.123
Data67,67.0,22.146,22.0,0.146
Data68,68.0,22.146,17.4,4.746
Data69,69.0,22.146,20.9,1.246
Data70,70.0,23.407,24.2,0.793
Data71,71.0,22.146,21.7,0.446
