,Num,Predicted Val,Actual Val,Bias
Data0,0.0,32.356,24.0,8.356
Data1,1.0,23.728,21.6,2.128
Data2,2.0,38.759,34.7,4.059
Data3,3.0,34.706,33.4,1.306
Data4,4.0,35.196,36.2,1.004
Data5,5.0,30.729,28.7,2.029
Data6,6.0,20.268,22.9,2.632
Data7,7.0,17.976,27.1,9.124
Data8,8.0,15.38,16.5,1.12
Data9,9.0,18.828,18.9,0.072
Data10,10.0,16.529,15.0,1.529
Data11,11.0,20.268,18.9,1.368
Data12,12.0,19.62,21.7,2.08
Data13,13.0,22.457,20.4,2.057
Data14,14.0,21.201,18.2,3.001
Data15,15.0,21.893,19.9,1.993
Data16,16.0,22.457,23.1,0.643
Data17,17.0,19.62,17.5,2.12
Data18,18.0,21.201,20.2,1.001
Data19,19.0,21.201,18.2,3.001
Data20,20.0,17.976,13.6,4.376
Data21,21.0,19.62,19.6,0.02
Data22,22.0,17.976,15.2,2.776
Data23,23.0,17.976,14.5,3.476
Data24,24.0,18.828,15.6,3.228
Data25,25.0,18.828,13.9,4.928
Data26,26.0,18.828,16.6,2.228
Data27,27.0,18.828,14.8,4.028
Data28,28.0,21.828,18.4,3.428
Data29,29.0,22.891,21.0,1.891
Data30,30.0,17.976,12.7,5.276
Data31,31.0,20.268,14.5,5.768
Data32,32.0,17.941,13.2,4.741
Data33,33.0,17.976,13.1,4.876
Data34,34.0,17.976,13.5,4.476
Data35,35.0,21.893,18.9,2.993
Data36,36.0,21.201,20.0,1.201
Data37,37.0,21.893,21.0,0.893
Data38,38.0,21.893,24.7,2.807
Data39,39.0,30.729,30.8,0.071
Data40,40.0,30.729,34.9,4.171
Data41,41.0,30.729,26.6,4.129
Data42,42.0,24.674,25.3,0.626
Data43,43.0,23.728,24.7,0.972
Data44,44.0,22.457,21.2,1.257
Data45,45.0,21.201,19.3,1.901
Data46,46.0,20.553,20.0,0.553
Data47,47.0,17.976,16.6,1.376
Data48,48.0,16.494,14.4,2.094
Data49,49.0,18.828,19.4,0.572
Data50,50.0,20.785,19.7,1.085
Data51,51.0,22.457,20.5,1.957
Data52,52.0,30.729,25.0,5.729
Data53,53.0,22.457,23.4,0.943
Data54,54.0,19.62,18.9,0.72
Data55,55.0,32.972,35.4,2.428
Data56,56.0,27.457,24.7,2.757
Data57,57.0,32.972,31.6,1.372
Data58,58.0,23.728,23.3,0.428
Data59,59.0,21.893,19.6,2.293
Data60,60.0,19.061,18.7,0.361
Data61,61.0,19.62,16.0,3.62
Data62,62.0,27.457,22.2,5.257
Data63,63.0,27.457,25.0,2.457
Data64,64.0,32.379,33.0,0.621
Data65,65.0,29.784,23.5,6.284
Data66,66.0,20.785,19.4,1.385
Data67,67.0,21.893,22.0,0.107
Data68,68.0,20.268,17.4,2.868
Data69,69.0,21.893,20.9,0.993
Data70,70.0,27.457,24.2,3.257
Data71,71.0,21.893,21.7,0.193
Data72,72.0,23.728,22.8,0.928
Data73,73.0,22.457,23.4,0.943
Data74,74.0,24.855,24.1,0.755
Data75,75.0,22.521,21.4,1.121
Data76,76.0,21.828,20.0,1.828
Data77,77.0,21.828,20.8,1.028
Data78,78.0,21.264,21.2,0.064
Data79,79.0,21.957,20.3,1.657
Data80,80.0,30.729,28.0,2.729
Data81,81.0,27.457,23.9,3.557
Data82,82.0,24.855,24.8,0.055
Data83,83.0,22.457,22.9,0.443
Data84,84.0,23.728,23.9,0.172
Data85,85.0,28.403,26.6,1.803
Data86,86.0,21.201,22.5,1.299
Data87,87.0,22.457,22.2,0.257
Data88,88.0,32.379,23.6,8.779
Data89,89.0,36.432,28.7,7.732
Data90,90.0,24.855,22.6,2.255
Data91,91.0,24.855,22.0,2.855
Data92,92.0,24.855,22.9,1.955
Data93,93.0,23.728,25.0,1.272
Data94,94.0,21.764,20.6,1.164
Data95,95.0,27.457,28.4,0.943
Data96,96.0,21.201,21.4,0.199
Data97,97.0,38.759,38.7,0.059
Data98,98.0,38.759,43.8,5.041
Data99,99.0,36.432,33.2,3.232
Data100,100.0,26.247,27.5,1.253
Data101,101.0,26.962,26.5,0.462
Data102,102.0,21.828,18.6,3.228
Data103,103.0,20.268,19.3,0.968
Data104,104.0,21.264,20.1,1.164
Data105,105.0,18.828,19.5,0.672
Data106,106.0,17.976,19.5,1.524
Data107,107.0,19.62,20.4,0.78
Data108,108.0,21.828,19.8,2.028
Data109,109.0,19.62,19.4,0.22
Data110,110.0,20.268,21.7,1.432
Data111,111.0,26.827,22.8,4.027
