,Num,Predicted Val,Actual Val,Bias
Data0,0.0,29.819,24.0,5.819
Data1,1.0,24.996,21.6,3.396
Data2,2.0,35.678,34.7,0.978
Data3,3.0,32.545,33.4,0.855
Data4,4.0,30.3,36.2,5.9
Data5,5.0,25.233,28.7,3.467
Data6,6.0,20.294,22.9,2.606
Data7,7.0,17.978,27.1,9.122
Data8,8.0,16.211,16.5,0.289
Data9,9.0,17.978,18.9,0.922
Data10,10.0,17.978,15.0,2.978
Data11,11.0,19.421,18.9,0.521
Data12,12.0,18.637,21.7,3.063
Data13,13.0,24.497,20.4,4.097
Data14,14.0,23.525,18.2,5.325
Data15,15.0,24.497,19.9,4.597
Data16,16.0,24.734,23.1,1.634
Data17,17.0,18.637,17.5,1.137
Data18,18.0,20.543,20.2,0.343
Data19,19.0,23.026,18.2,4.826
Data20,20.0,17.978,13.6,4.378
Data21,21.0,19.421,19.6,0.179
Data22,22.0,17.978,15.2,2.778
Data23,23.0,17.978,14.5,3.478
Data24,24.0,18.637,15.6,3.037
Data25,25.0,17.978,13.9,4.078
Data26,26.0,18.637,16.6,2.037
Data27,27.0,17.978,14.8,3.178
Data28,28.0,19.421,18.4,1.021
Data29,29.0,20.791,21.0,0.209
Data30,30.0,17.978,12.7,5.278
Data31,31.0,19.421,14.5,4.921
Data32,32.0,17.978,13.2,4.778
Data33,33.0,17.978,13.1,4.878
Data34,34.0,17.978,13.5,4.478
Data35,35.0,24.497,18.9,5.597
Data36,36.0,22.075,20.0,2.075
Data37,37.0,23.545,21.0,2.545
Data38,38.0,24.044,24.7,0.656
Data39,39.0,32.545,30.8,1.745
Data40,40.0,34.833,34.9,0.067
Data41,41.0,28.867,26.6,2.267
Data42,42.0,25.233,25.3,0.067
Data43,43.0,24.044,24.7,0.656
Data44,44.0,24.044,21.2,2.844
Data45,45.0,23.545,19.3,4.245
Data46,46.0,19.831,20.0,0.169
Data47,47.0,17.978,16.6,1.378
Data48,48.0,17.978,14.4,3.578
Data49,49.0,18.637,19.4,0.763
Data50,50.0,20.33,19.7,0.63
Data51,51.0,24.044,20.5,3.544
Data52,52.0,27.167,25.0,2.167
Data53,53.0,24.044,23.4,0.644
Data54,54.0,18.637,18.9,0.263
Data55,55.0,32.001,35.4,3.399
Data56,56.0,25.233,24.7,0.533
Data57,57.0,32.545,31.6,0.945
Data58,58.0,25.233,23.3,1.933
Data59,59.0,23.545,19.6,3.945
Data60,60.0,19.421,18.7,0.721
Data61,61.0,18.637,16.0,2.637
Data62,62.0,25.233,22.2,3.033
Data63,63.0,25.978,25.0,0.978
Data64,64.0,25.978,33.0,7.022
Data65,65.0,26.933,23.5,3.433
Data66,66.0,22.075,19.4,2.675
Data67,67.0,24.002,22.0,2.002
Data68,68.0,19.421,17.4,2.021
Data69,69.0,24.002,20.9,3.102
Data70,70.0,25.233,24.2,1.033
Data71,71.0,22.075,21.7,0.375
Data72,72.0,25.233,22.8,2.433
Data73,73.0,25.233,23.4,1.833
Data74,74.0,25.69,24.1,1.59
Data75,75.0,23.592,21.4,2.192
Data76,76.0,20.791,20.0,0.791
Data77,77.0,21.665,20.8,0.865
Data78,78.0,20.791,21.2,0.409
Data79,79.0,23.592,20.3,3.292
Data80,80.0,27.167,28.0,0.833
Data81,81.0,27.167,23.9,3.267
Data82,82.0,25.233,24.8,0.433
Data83,83.0,24.044,22.9,1.144
Data84,84.0,24.044,23.9,0.144
Data85,85.0,27.167,26.6,0.567
Data86,86.0,21.203,22.5,1.297
Data87,87.0,24.044,22.2,1.844
Data88,88.0,28.119,23.6,4.519
Data89,89.0,28.119,28.7,0.581
Data90,90.0,24.044,22.6,1.444
Data91,91.0,24.996,22.0,2.996
Data92,92.0,24.044,22.9,1.144
Data93,93.0,25.233,25.0,0.233
Data94,94.0,24.996,20.6,4.396
Data95,95.0,27.167,28.4,1.233
Data96,96.0,22.574,21.4,1.174
Data97,97.0,38.985,38.7,0.285
Data98,98.0,38.985,43.8,4.815
Data99,99.0,34.559,33.2,1.359
Data100,100.0,23.592,27.5,3.908
Data101,101.0,26.435,26.5,0.065
Data102,102.0,20.133,18.6,1.533
Data103,103.0,19.421,19.3,0.121
Data104,104.0,22.616,20.1,2.516
Data105,105.0,18.637,19.5,0.863
Data106,106.0,17.978,19.5,1.522
Data107,107.0,19.421,20.4,0.979
Data108,108.0,22.616,19.8,2.816
Data109,109.0,18.637,19.4,0.763
Data110,110.0,19.421,21.7,2.279
Data111,111.0,22.616,22.8,0.184
Data112,112.0,18.637,18.8,0.163
Data113,113.0,18.637,18.7,0.063
Data114,114.0,22.616,18.5,4.116
Data115,115.0,17.978,18.3,0.322
Data116,116.0,21.665,21.2,0.465
Data117,117.0,22.616,19.2,3.416
Data118,118.0,17.978,20.4,2.422
Data119,119.0,19.421,19.3,0.121
Data120,120.0,20.518,22.0,1.482
Data121,121.0,21.017,20.3,0.717
Data122,122.0,17.978,20.5,2.522
Data123,123.0,17.978,17.3,0.678
Data124,124.0,17.978,18.8,0.822
Data125,125.0,19.546,21.4,1.854
Data126,126.0,17.978,15.7,2.278
Data127,127.0,17.978,16.2,1.778
Data128,128.0,18.637,18.0,0.637
Data129,129.0,17.978,14.3,3.678
Data130,130.0,21.245,19.2,2.045
Data131,131.0,22.616,19.6,3.016
Data132,132.0,22.616,23.0,0.384
Data133,133.0,18.637,18.4,0.237
Data134,134.0,17.978,15.6,2.378
Data135,135.0,18.637,18.1,0.537
Data136,136.0,17.978,17.4,0.578
Data137,137.0,18.637,17.1,1.537
Data138,138.0,17.978,13.3,4.678
Data139,139.0,17.978,17.8,0.178
Data140,140.0,17.053,14.0,3.053
Data141,141.0,14.657,14.4,0.257
Data142,142.0,17.053,13.4,3.653
Data143,143.0,17.053,15.6,1.453
Data144,144.0,17.053,11.8,5.253
Data145,145.0,17.053,13.8,3.253
Data146,146.0,17.978,15.6,2.378
Data147,147.0,17.053,14.6,2.453
Data148,148.0,17.053,17.8,0.747
Data149,149.0,17.978,15.4,2.578
Data150,150.0,19.421,21.5,2.079
Data151,151.0,18.762,19.6,0.838
Data152,152.0,20.791,15.3,5.491
Data153,153.0,17.978,19.4,1.422
Data154,154.0,17.978,17.0,0.978
Data155,155.0,18.762,15.6,3.162
Data156,156.0,18.762,13.1,5.662
Data157,157.0,29.819,41.3,11.481
Data158,158.0,26.642,24.3,2.342
Data159,159.0,28.576,23.3,5.276
Data160,160.0,28.576,27.0,1.576
Data161,161.0,45.874,50.0,4.126
Data162,162.0,45.874,50.0,4.126
Data163,163.0,43.585,50.0,6.415
Data164,164.0,21.665,22.7,1.035
Data165,165.0,20.133,25.0,4.867
Data166,166.0,39.48,50.0,10.52
Data167,167.0,20.133,23.8,3.667
Data168,168.0,20.133,23.8,3.667
Data169,169.0,20.791,22.3,1.509
Data170,170.0,18.762,17.4,1.362
Data171,171.0,20.791,19.1,1.691
Data172,172.0,18.637,23.1,4.463
Data173,173.0,24.996,23.6,1.396
Data174,174.0,23.545,22.6,0.945
Data175,175.0,27.167,29.4,2.233
Data176,176.0,22.574,23.2,0.626
Data177,177.0,26.184,24.6,1.584
Data178,178.0,28.119,29.9,1.781
Data179,179.0,28.867,37.2,8.333
Data180,180.0,30.063,39.8,9.737
Data181,181.0,24.044,36.2,12.156
Data182,182.0,32.952,37.9,4.948
Data183,183.0,28.119,32.5,4.381
Data184,184.0,21.301,26.4,5.099
Data185,185.0,21.8,29.6,7.8
Data186,186.0,37.192,50.0,12.808
Data187,187.0,28.576,32.0,3.424
Data188,188.0,29.8,29.8,0.0
Data189,189.0,31.252,34.9,3.648
Data190,190.0,28.867,37.0,8.133
Data191,191.0,28.867,30.5,1.633
Data192,192.0,37.967,36.4,1.567
Data193,193.0,28.867,31.1,2.233
Data194,194.0,29.8,29.1,0.7
Data195,195.0,38.985,50.0,11.015
Data196,196.0,35.678,33.3,2.378
Data197,197.0,27.387,30.3,2.913
Data198,198.0,31.252,34.6,3.348
Data199,199.0,29.8,34.9,5.1
Data200,200.0,29.8,32.9,3.1
Data201,201.0,24.044,24.1,0.056
Data202,202.0,38.985,42.3,3.315
Data203,203.0,38.985,48.5,9.515
Data204,204.0,41.274,50.0,8.726
Data205,205.0,22.075,22.6,0.525
Data206,206.0,22.574,24.4,1.826
Data207,207.0,17.978,22.5,4.522
Data208,208.0,18.637,24.4,5.763
Data209,209.0,17.978,20.0,2.022
Data210,210.0,17.978,21.7,3.722
Data211,211.0,17.978,19.3,1.322
Data212,212.0,18.637,22.4,3.763
Data213,213.0,24.044,28.1,4.056
