,Num,Predicted Val,Actual Val,Bias
Data0,0.0,27.609,24.0,3.609
Data1,1.0,24.022,21.6,2.422
Data2,2.0,33.359,34.7,1.341
Data3,3.0,29.257,33.4,4.143
Data4,4.0,32.123,36.2,4.077
Data5,5.0,25.292,28.7,3.408
Data6,6.0,21.171,22.9,1.729
Data7,7.0,22.986,27.1,4.114
Data8,8.0,20.039,16.5,3.539
Data9,9.0,21.171,18.9,2.271
Data10,10.0,22.986,15.0,7.986
Data11,11.0,21.171,18.9,2.271
Data12,12.0,21.171,21.7,0.529
Data13,13.0,20.427,20.4,0.027
Data14,14.0,20.427,18.2,2.227
Data15,15.0,20.427,19.9,0.527
Data16,16.0,20.427,23.1,2.673
Data17,17.0,20.427,17.5,2.927
Data18,18.0,18.913,20.2,1.287
Data19,19.0,20.427,18.2,2.227
Data20,20.0,18.913,13.6,5.313
Data21,21.0,20.427,19.6,0.827
Data22,22.0,22.242,15.2,7.042
Data23,23.0,20.427,14.5,5.927
Data24,24.0,20.427,15.6,4.827
Data25,25.0,19.295,13.9,5.395
Data26,26.0,20.427,16.6,3.827
Data27,27.0,20.427,14.8,5.627
Data28,28.0,23.278,18.4,4.878
Data29,29.0,25.595,21.0,4.595
Data30,30.0,19.295,12.7,6.595
Data31,31.0,20.427,14.5,5.927
Data32,32.0,20.427,13.2,7.227
Data33,33.0,19.295,13.1,6.195
Data34,34.0,20.427,13.5,6.927
Data35,35.0,21.587,18.9,2.687
Data36,36.0,21.587,20.0,1.587
Data37,37.0,21.587,21.0,0.587
Data38,38.0,21.587,24.7,3.113
Data39,39.0,27.609,30.8,3.191
Data40,40.0,29.257,34.9,5.643
Data41,41.0,26.338,26.6,0.262
Data42,42.0,22.986,25.3,2.314
Data43,43.0,22.986,24.7,1.714
Data44,44.0,21.171,21.2,0.029
Data45,45.0,20.039,19.3,0.739
Data46,46.0,21.171,20.0,1.171
Data47,47.0,21.171,16.6,4.571
Data48,48.0,18.913,14.4,4.513
Data49,49.0,20.039,19.4,0.639
Data50,50.0,21.587,19.7,1.887
Data51,51.0,22.986,20.5,2.486
Data52,52.0,24.022,25.0,0.978
Data53,53.0,21.587,23.4,1.813
Data54,54.0,20.43,18.9,1.53
Data55,55.0,33.359,35.4,2.041
Data56,56.0,24.257,24.7,0.443
Data57,57.0,29.257,31.6,2.343
Data58,58.0,22.242,23.3,1.058
Data59,59.0,20.843,19.6,1.243
Data60,60.0,20.843,18.7,2.143
Data61,61.0,20.843,16.0,4.843
Data62,62.0,23.278,22.2,1.078
Data63,63.0,27.609,25.0,2.609
Data64,64.0,28.47,33.0,4.53
Data65,65.0,22.573,23.5,0.927
Data66,66.0,21.173,19.4,1.773
Data67,67.0,21.173,22.0,0.827
Data68,68.0,20.041,17.4,2.641
Data69,69.0,21.173,20.9,0.273
Data70,70.0,24.022,24.2,0.178
Data71,71.0,21.171,21.7,0.529
Data72,72.0,21.171,22.8,1.629
Data73,73.0,22.986,23.4,0.414
Data74,74.0,22.573,24.1,1.527
Data75,75.0,22.573,21.4,1.173
Data76,76.0,22.573,20.0,2.573
Data77,77.0,22.573,20.8,1.773
Data78,78.0,22.573,21.2,1.373
Data79,79.0,19.632,20.3,0.668
Data80,80.0,27.609,28.0,0.391
Data81,81.0,26.338,23.9,2.438
Data82,82.0,22.986,24.8,1.814
Data83,83.0,22.986,22.9,0.086
Data84,84.0,22.986,23.9,0.914
Data85,85.0,27.609,26.6,1.009
Data86,86.0,21.587,22.5,0.913
Data87,87.0,22.986,22.2,0.786
Data88,88.0,29.257,23.6,5.657
Data89,89.0,29.257,28.7,0.557
Data90,90.0,24.022,22.6,1.422
Data91,91.0,22.986,22.0,0.986
Data92,92.0,24.022,22.9,1.122
Data93,93.0,21.86,25.0,3.14
Data94,94.0,21.86,20.6,1.26
Data95,95.0,27.609,28.4,0.791
Data96,96.0,22.986,21.4,1.586
Data97,97.0,38.904,38.7,0.204
Data98,98.0,36.681,43.8,7.119
Data99,99.0,33.359,33.2,0.159
Data100,100.0,24.146,27.5,3.354
Data101,101.0,24.146,26.5,2.354
Data102,102.0,21.829,18.6,3.229
Data103,103.0,21.829,19.3,2.529
Data104,104.0,21.829,20.1,1.729
Data105,105.0,20.014,19.5,0.514
Data106,106.0,20.014,19.5,0.514
Data107,107.0,21.829,20.4,1.429
Data108,108.0,21.829,19.8,2.029
Data109,109.0,21.829,19.4,2.429
Data110,110.0,21.829,21.7,0.129
Data111,111.0,24.889,22.8,2.089
Data112,112.0,20.757,18.8,1.957
Data113,113.0,20.757,18.7,2.057
Data114,114.0,22.573,18.5,4.073
Data115,115.0,20.757,18.3,2.457
Data116,116.0,22.573,21.2,1.373
Data117,117.0,20.757,19.2,1.557
Data118,118.0,20.757,20.4,0.357
Data119,119.0,19.632,19.3,0.332
Data120,120.0,20.045,22.0,1.955
Data121,121.0,20.045,20.3,0.255
Data122,122.0,20.045,20.5,0.455
Data123,123.0,20.045,17.3,2.745
Data124,124.0,20.045,18.8,1.245
Data125,125.0,20.045,21.4,1.355
Data126,126.0,18.913,15.7,3.213
Data127,127.0,18.5,16.2,2.3
Data128,128.0,21.447,18.0,3.447
Data129,129.0,18.5,14.3,4.2
Data130,130.0,21.447,19.2,2.247
Data131,131.0,21.447,19.6,1.847
Data132,132.0,21.447,23.0,1.553
Data133,133.0,19.632,18.4,1.232
Data134,134.0,19.632,15.6,4.032
Data135,135.0,21.447,18.1,3.347
Data136,136.0,19.632,17.4,2.232
Data137,137.0,21.447,17.1,4.347
Data138,138.0,19.632,13.3,6.332
Data139,139.0,21.447,17.8,3.647
Data140,140.0,21.447,14.0,7.447
Data141,141.0,18.5,14.4,4.1
Data142,142.0,20.315,13.4,6.915
Data143,143.0,18.5,15.6,2.9
Data144,144.0,18.5,11.8,6.7
Data145,145.0,20.058,13.8,6.258
Data146,146.0,18.5,15.6,2.9
Data147,147.0,18.5,14.6,3.9
Data148,148.0,18.5,17.8,0.7
Data149,149.0,18.5,15.4,3.1
Data150,150.0,21.447,21.5,0.053
Data151,151.0,18.5,19.6,1.1
Data152,152.0,20.315,15.3,5.015
Data153,153.0,18.5,19.4,0.9
Data154,154.0,22.781,17.0,5.781
Data155,155.0,22.781,15.6,7.181
Data156,156.0,18.5,13.1,5.4
Data157,157.0,27.199,41.3,14.101
Data158,158.0,19.632,24.3,4.668
Data159,159.0,21.447,23.3,1.853
Data160,160.0,22.781,27.0,4.219
Data161,161.0,34.698,50.0,15.302
Data162,162.0,39.519,50.0,10.481
Data163,163.0,42.025,50.0,7.975
Data164,164.0,19.632,22.7,3.068
Data165,165.0,19.632,25.0,5.368
Data166,166.0,38.185,50.0,11.815
Data167,167.0,19.632,23.8,4.168
Data168,168.0,21.447,23.8,2.353
Data169,169.0,21.447,22.3,0.853
Data170,170.0,19.632,17.4,2.232
Data171,171.0,19.632,19.1,0.532
Data172,172.0,20.455,23.1,2.645
Data173,173.0,24.022,23.6,0.422
Data174,174.0,21.587,22.6,1.013
Data175,175.0,25.292,29.4,4.108
Data176,176.0,21.587,23.2,1.613
Data177,177.0,22.986,24.6,1.614
Data178,178.0,28.47,29.9,1.43
Data179,179.0,29.257,37.2,7.943
Data180,180.0,36.681,39.8,3.119
Data181,181.0,22.986,36.2,13.214
Data182,182.0,32.123,37.9,5.777
Data183,183.0,25.292,32.5,7.208
Data184,184.0,20.455,26.4,5.945
Data185,185.0,22.986,29.6,6.614
Data186,186.0,36.681,50.0,13.319
Data187,187.0,26.16,32.0,5.84
Data188,188.0,23.843,29.8,5.957
Data189,189.0,34.559,34.9,0.341
Data190,190.0,28.47,37.0,8.53
Data191,191.0,26.16,30.5,4.34
Data192,192.0,34.559,36.4,1.841
Data193,193.0,29.257,31.1,1.843
Data194,194.0,27.609,29.1,1.491
Data195,195.0,42.86,50.0,7.14
Data196,196.0,34.559,33.3,1.259
Data197,197.0,28.47,30.3,1.83
Data198,198.0,33.772,34.6,0.828
Data199,199.0,29.257,34.9,5.643
Data200,200.0,29.257,32.9,3.643
Data201,201.0,22.573,24.1,1.527
Data202,202.0,38.442,42.3,3.858
Data203,203.0,42.86,48.5,5.64
Data204,204.0,42.86,50.0,7.14
Data205,205.0,21.171,22.6,1.429
Data206,206.0,22.986,24.4,1.414
Data207,207.0,20.045,22.5,2.455
Data208,208.0,24.32,24.4,0.08
Data209,209.0,20.728,20.0,0.728
Data210,210.0,24.32,21.7,2.62
Data211,211.0,20.728,19.3,1.428
Data212,212.0,23.194,22.4,0.794
Data213,213.0,22.986,28.1,5.114
Data214,214.0,18.913,23.7,4.787
Data215,215.0,22.986,25.0,2.014
