,Num,Predicted Val,Actual Val,Bias
Data0,0.0,26.875,24.0,2.875
Data1,1.0,22.087,21.6,0.487
Data2,2.0,29.854,34.7,4.846
Data3,3.0,31.187,33.4,2.213
Data4,4.0,29.377,36.2,6.823
Data5,5.0,26.884,28.7,1.816
Data6,6.0,22.294,22.9,0.606
Data7,7.0,22.547,27.1,4.553
Data8,8.0,19.13,16.5,2.63
Data9,9.0,22.294,18.9,3.394
Data10,10.0,21.075,15.0,6.075
Data11,11.0,22.294,18.9,3.394
Data12,12.0,22.294,21.7,0.594
Data13,13.0,21.524,20.4,1.124
Data14,14.0,21.524,18.2,3.324
Data15,15.0,21.524,19.9,1.624
Data16,16.0,22.991,23.1,0.109
Data17,17.0,18.508,17.5,1.008
Data18,18.0,19.813,20.2,0.387
Data19,19.0,19.813,18.2,1.613
Data20,20.0,16.407,13.6,2.807
Data21,21.0,19.813,19.6,0.213
Data22,22.0,18.018,15.2,2.818
Data23,23.0,16.407,14.5,1.907
Data24,24.0,18.508,15.6,2.908
Data25,25.0,18.508,13.9,4.608
Data26,26.0,18.508,16.6,1.908
Data27,27.0,18.508,14.8,3.708
Data28,28.0,21.524,18.4,3.124
Data29,29.0,21.524,21.0,0.524
Data30,30.0,16.407,12.7,3.707
Data31,31.0,20.936,14.5,6.436
Data32,32.0,16.407,13.2,3.207
Data33,33.0,18.018,13.1,4.918
Data34,34.0,16.407,13.5,2.907
Data35,35.0,21.524,18.9,2.624
Data36,36.0,20.936,20.0,0.936
Data37,37.0,21.524,21.0,0.524
Data38,38.0,21.524,24.7,3.176
Data39,39.0,27.36,30.8,3.44
Data40,40.0,31.187,34.9,3.713
Data41,41.0,24.927,26.6,1.673
Data42,42.0,24.45,25.3,0.85
Data43,43.0,23.555,24.7,1.145
Data44,44.0,22.087,21.2,0.887
Data45,45.0,21.5,19.3,2.2
Data46,46.0,20.377,20.0,0.377
Data47,47.0,20.63,16.6,4.03
Data48,48.0,19.158,14.4,4.758
Data49,49.0,20.377,19.4,0.977
Data50,50.0,21.179,19.7,1.479
Data51,51.0,22.89,20.5,2.39
Data52,52.0,27.36,25.0,2.36
Data53,53.0,24.357,23.4,0.957
Data54,54.0,20.426,18.9,1.526
Data55,55.0,30.192,35.4,5.208
Data56,56.0,25.59,24.7,0.89
Data57,57.0,30.183,31.6,1.417
Data58,58.0,23.794,23.3,0.494
Data59,59.0,22.327,19.6,2.727
Data60,60.0,20.616,18.7,1.916
Data61,61.0,19.311,16.0,3.311
Data62,62.0,24.689,22.2,2.489
Data63,63.0,23.222,25.0,1.778
Data64,64.0,25.253,33.0,7.747
Data65,65.0,27.698,23.5,4.198
Data66,66.0,22.64,19.4,3.24
Data67,67.0,24.357,22.0,2.357
Data68,68.0,21.179,17.4,3.779
Data69,69.0,24.357,20.9,3.457
Data70,70.0,23.886,24.2,0.314
Data71,71.0,21.524,21.7,0.176
Data72,72.0,23.468,22.8,0.668
Data73,73.0,22.991,23.4,0.409
Data74,74.0,24.45,24.1,0.35
Data75,75.0,22.087,21.4,0.687
Data76,76.0,22.087,20.0,2.087
Data77,77.0,22.087,20.8,1.287
Data78,78.0,22.087,21.2,0.887
Data79,79.0,22.087,20.3,1.787
Data80,80.0,27.36,28.0,0.64
Data81,81.0,25.253,23.9,1.353
Data82,82.0,25.253,24.8,0.453
Data83,83.0,24.357,22.9,1.457
Data84,84.0,22.087,23.9,1.813
Data85,85.0,24.45,26.6,2.15
Data86,86.0,21.5,22.5,1.0
Data87,87.0,23.555,22.2,1.355
Data88,88.0,29.854,23.6,6.254
Data89,89.0,27.421,28.7,1.279
Data90,90.0,23.555,22.6,0.955
Data91,91.0,24.45,22.0,2.45
Data92,92.0,25.253,22.9,2.353
Data93,93.0,25.729,25.0,0.729
Data94,94.0,22.89,20.6,2.29
Data95,95.0,24.45,28.4,3.95
Data96,96.0,22.087,21.4,0.687
Data97,97.0,35.746,38.7,2.954
Data98,98.0,31.187,43.8,12.613
Data99,99.0,27.421,33.2,5.779
Data100,100.0,22.419,27.5,5.081
Data101,101.0,23.886,26.5,2.614
Data102,102.0,21.524,18.6,2.924
Data103,103.0,20.936,19.3,1.636
Data104,104.0,21.524,20.1,1.424
Data105,105.0,18.508,19.5,0.992
Data106,106.0,17.135,19.5,2.365
Data107,107.0,19.632,20.4,0.768
Data108,108.0,21.524,19.8,1.724
Data109,109.0,19.632,19.4,0.232
Data110,110.0,21.524,21.7,0.176
Data111,111.0,22.983,22.8,0.183
Data112,112.0,20.377,18.8,1.577
Data113,113.0,20.377,18.7,1.677
Data114,114.0,22.087,18.5,3.587
Data115,115.0,20.377,18.3,2.077
Data116,116.0,22.087,21.2,0.887
Data117,117.0,22.087,19.2,2.887
Data118,118.0,20.377,20.4,0.023
Data119,119.0,20.377,19.3,1.077
Data120,120.0,18.508,22.0,3.492
Data121,121.0,18.508,20.3,1.792
Data122,122.0,18.891,20.5,1.609
Data123,123.0,17.672,17.3,0.372
Data124,124.0,18.508,18.8,0.292
Data125,125.0,18.508,21.4,2.892
Data126,126.0,17.672,15.7,1.972
Data127,127.0,19.623,16.2,3.423
Data128,128.0,20.21,18.0,2.21
Data129,129.0,18.25,14.3,3.95
Data130,130.0,21.515,19.2,2.315
Data131,131.0,21.515,19.6,1.915
Data132,132.0,21.515,23.0,1.485
Data133,133.0,19.623,18.4,1.223
Data134,134.0,19.623,15.6,4.023
Data135,135.0,19.623,18.1,1.523
Data136,136.0,19.623,17.4,2.223
Data137,137.0,20.21,17.1,3.11
Data138,138.0,15.577,13.3,2.277
Data139,139.0,18.25,17.8,0.45
Data140,140.0,15.577,14.0,1.577
Data141,141.0,15.577,14.4,1.177
Data142,142.0,17.78,13.4,4.38
Data143,143.0,16.561,15.6,0.961
Data144,144.0,16.561,11.8,4.761
Data145,145.0,16.561,13.8,2.761
Data146,146.0,19.725,15.6,4.125
Data147,147.0,16.561,14.6,1.961
Data148,148.0,16.561,17.8,1.239
Data149,149.0,18.506,15.4,3.106
Data150,150.0,20.986,21.5,0.514
Data151,151.0,20.33,19.6,0.73
Data152,152.0,20.33,15.3,5.03
Data153,153.0,19.725,19.4,0.325
Data154,154.0,20.33,17.0,3.33
Data155,155.0,19.725,15.6,4.125
Data156,156.0,19.725,13.1,6.625
Data157,157.0,31.835,41.3,9.465
Data158,158.0,23.367,24.3,0.933
Data159,159.0,23.757,23.3,0.457
Data160,160.0,24.262,27.0,2.738
Data161,161.0,37.577,50.0,12.423
Data162,162.0,37.004,50.0,12.996
Data163,163.0,40.216,50.0,9.784
Data164,164.0,21.491,22.7,1.209
Data165,165.0,23.546,25.0,1.454
Data166,166.0,31.262,50.0,18.738
Data167,167.0,20.835,23.8,2.965
Data168,168.0,22.079,23.8,1.721
Data169,169.0,22.079,22.3,0.221
Data170,170.0,20.835,17.4,3.435
Data171,171.0,21.491,19.1,2.391
Data172,172.0,20.377,23.1,2.723
Data173,173.0,23.555,23.6,0.045
Data174,174.0,23.555,22.6,0.955
Data175,175.0,26.138,29.4,3.262
