,编号,预测值,实际值,偏差
数据0,0.0,0.0,24.0,24.0
数据1,1.0,0.109,21.6,21.491
数据2,2.0,0.496,34.7,34.204
数据3,3.0,1.02,33.4,32.38
数据4,4.0,0.75,36.2,35.45
数据5,5.0,0.96,28.7,27.74
数据6,6.0,0.483,22.9,22.417
数据7,7.0,0.366,27.1,26.734
数据8,8.0,0.267,16.5,16.233
数据9,9.0,0.526,18.9,18.374
数据10,10.0,0.489,15.0,14.511
数据11,11.0,0.829,18.9,18.071
数据12,12.0,0.764,21.7,20.936
数据13,13.0,1.574,20.4,18.826
数据14,14.0,1.365,18.2,16.835
数据15,15.0,1.771,19.9,18.129
数据16,16.0,2.432,23.1,20.668
数据17,17.0,1.159,17.5,16.341
数据18,18.0,1.54,20.2,18.66
数据19,19.0,1.684,18.2,16.516
数据20,20.0,0.951,13.6,12.649
数据21,21.0,1.518,19.6,18.082
数据22,22.0,1.175,15.2,14.025
数据23,23.0,1.157,14.5,13.343
数据24,24.0,1.472,15.6,14.128
数据25,25.0,1.514,13.9,12.386
数据26,26.0,1.756,16.6,14.844
数据27,27.0,1.562,14.8,13.238
数据28,28.0,2.188,18.4,16.212
数据29,29.0,2.421,21.0,18.579
数据30,30.0,1.327,12.7,11.373
数据31,31.0,2.377,14.5,12.123
数据32,32.0,1.155,13.2,12.045
数据33,33.0,1.798,13.1,11.302
数据34,34.0,1.672,13.5,11.828
数据35,35.0,3.616,18.9,15.284
数据36,36.0,3.155,20.0,16.845
数据37,37.0,4.219,21.0,16.781
数据38,38.0,3.751,24.7,20.949
数据39,39.0,9.028,30.8,21.772
数据40,40.0,20.202,34.9,14.698
数据41,41.0,8.471,26.6,18.129
数据42,42.0,7.229,25.3,18.071
数据43,43.0,5.78,24.7,18.92
数据44,44.0,4.607,21.2,16.593
数据45,45.0,4.407,19.3,14.893
数据46,46.0,3.251,20.0,16.749
数据47,47.0,2.5,16.6,14.1
数据48,48.0,1.558,14.4,12.842
数据49,49.0,3.025,19.4,16.375
数据50,50.0,3.717,19.7,15.983
数据51,51.0,5.408,20.5,15.092
数据52,52.0,9.848,25.0,15.152
数据53,53.0,6.287,23.4,17.113
数据54,54.0,3.649,18.9,15.251
数据55,55.0,11.435,35.4,23.965
数据56,56.0,9.705,24.7,14.995
数据57,57.0,14.43,31.6,17.17
数据58,58.0,8.455,23.3,14.845
数据59,59.0,6.399,19.6,13.201
数据60,60.0,4.563,18.7,14.137
数据61,61.0,4.224,16.0,11.776
数据62,62.0,9.212,22.2,12.988
数据63,63.0,6.632,25.0,18.368
数据64,64.0,7.95,33.0,25.05
数据65,65.0,13.919,23.5,9.581
数据66,66.0,6.445,19.4,12.955
数据67,67.0,8.272,22.0,13.728
数据68,68.0,5.195,17.4,12.205
数据69,69.0,7.85,20.9,13.05
数据70,70.0,10.417,24.2,13.783
数据71,71.0,7.186,21.7,14.514
数据72,72.0,13.043,22.8,9.757
数据73,73.0,9.682,23.4,13.718
数据74,74.0,10.914,24.1,13.186
数据75,75.0,8.389,21.4,13.011
数据76,76.0,6.349,20.0,13.651
数据77,77.0,7.498,20.8,13.302
数据78,78.0,6.321,21.2,14.879
数据79,79.0,8.681,20.3,11.619
数据80,80.0,15.123,28.0,12.877
数据81,81.0,11.219,23.9,12.681
数据82,82.0,12.202,24.8,12.598
数据83,83.0,11.052,22.9,11.848
数据84,84.0,8.732,23.9,15.168
数据85,85.0,13.017,26.6,13.583
数据86,86.0,6.687,22.5,15.813
数据87,87.0,10.308,22.2,11.892
数据88,88.0,16.0,23.6,7.6
数据89,89.0,15.614,28.7,13.086
数据90,90.0,10.216,22.6,12.384
数据91,91.0,11.098,22.0,10.902
数据92,92.0,11.275,22.9,11.625
数据93,93.0,14.976,25.0,10.024
数据94,94.0,8.876,20.6,11.724
数据95,95.0,14.286,28.4,14.114
数据96,96.0,8.466,21.4,12.934
数据97,97.0,23.04,38.7,15.66
数据98,98.0,27.451,43.8,16.349
数据99,99.0,15.994,33.2,17.206
数据100,100.0,10.616,27.5,16.884
数据101,101.0,13.168,26.5,13.332
数据102,102.0,9.595,18.6,9.005
数据103,103.0,7.664,19.3,11.636
数据104,104.0,8.435,20.1,11.665
数据105,105.0,6.375,19.5,13.125
数据106,106.0,5.681,19.5,13.819
数据107,107.0,7.594,20.4,12.806
数据108,108.0,8.802,19.8,10.998
数据109,109.0,7.01,19.4,12.39
数据110,110.0,8.462,21.7,13.238
数据111,111.0,10.925,22.8,11.875
数据112,112.0,6.909,18.8,11.891
数据113,113.0,6.612,18.7,12.088
数据114,114.0,10.909,18.5,7.591
数据115,115.0,7.297,18.3,11.003
数据116,116.0,9.635,21.2,11.565
数据117,117.0,11.359,19.2,7.841
数据118,118.0,7.677,20.4,12.723
数据119,119.0,8.744,19.3,10.556
数据120,120.0,8.351,22.0,13.649
数据121,121.0,8.479,20.3,11.821
数据122,122.0,6.804,20.5,13.696
数据123,123.0,4.841,17.3,12.459
数据124,124.0,7.053,18.8,11.747
数据125,125.0,8.44,21.4,12.96
数据126,126.0,4.622,15.7,11.078
数据127,127.0,7.388,16.2,8.812
数据128,128.0,8.317,18.0,9.683
数据129,129.0,7.034,14.3,7.266
数据130,130.0,10.317,19.2,8.883
数据131,131.0,10.685,19.6,8.915
数据132,132.0,11.871,23.0,11.129
数据133,133.0,8.849,18.4,9.551
数据134,134.0,7.741,15.6,7.859
数据135,135.0,7.96,18.1,10.14
数据136,136.0,8.047,17.4,9.353
数据137,137.0,9.39,17.1,7.71
