,Num,Predicted Val,Actual Val,Bias
Data0,0.0,31.093,24.0,7.093
Data1,1.0,23.249,21.6,1.649
Data2,2.0,32.093,34.7,2.607
Data3,3.0,32.093,33.4,1.307
Data4,4.0,27.525,36.2,8.675
Data5,5.0,29.036,28.7,0.336
Data6,6.0,21.291,22.9,1.609
Data7,7.0,19.257,27.1,7.843
Data8,8.0,18.738,16.5,2.238
Data9,9.0,19.257,18.9,0.357
Data10,10.0,18.738,15.0,3.738
Data11,11.0,20.115,18.9,1.215
Data12,12.0,19.257,21.7,2.443
Data13,13.0,23.249,20.4,2.849
Data14,14.0,23.249,18.2,5.049
Data15,15.0,23.249,19.9,3.349
Data16,16.0,26.913,23.1,3.813
Data17,17.0,17.174,17.5,0.326
Data18,18.0,21.702,20.2,1.502
Data19,19.0,21.702,18.2,3.502
Data20,20.0,14.199,13.6,0.599
Data21,21.0,17.174,19.6,2.426
Data22,22.0,15.914,15.2,0.714
Data23,23.0,14.199,14.5,0.301
Data24,24.0,17.174,15.6,1.574
Data25,25.0,17.174,13.9,3.274
Data26,26.0,17.174,16.6,0.574
Data27,27.0,15.914,14.8,1.114
Data28,28.0,20.133,18.4,1.733
Data29,29.0,21.702,21.0,0.702
Data30,30.0,14.199,12.7,1.499
Data31,31.0,18.958,14.5,4.458
Data32,32.0,14.199,13.2,0.999
Data33,33.0,15.914,13.1,2.814
Data34,34.0,14.199,13.5,0.699
Data35,35.0,23.249,18.9,4.349
Data36,36.0,22.67,20.0,2.67
Data37,37.0,23.249,21.0,2.249
Data38,38.0,23.249,24.7,1.451
Data39,39.0,30.516,30.8,0.284
Data40,40.0,30.516,34.9,4.384
Data41,41.0,29.93,26.6,3.33
Data42,42.0,26.913,25.3,1.613
Data43,43.0,25.333,24.7,0.633
Data44,44.0,23.249,21.2,2.049
Data45,45.0,23.249,19.3,3.949
Data46,46.0,19.068,20.0,0.932
Data47,47.0,17.807,16.6,1.207
Data48,48.0,17.594,14.4,3.194
Data49,49.0,19.068,19.4,0.332
Data50,50.0,20.239,19.7,0.539
Data51,51.0,23.562,20.5,3.062
Data52,52.0,28.114,25.0,3.114
Data53,53.0,23.562,23.4,0.162
Data54,54.0,17.174,18.9,1.726
Data55,55.0,32.078,35.4,3.322
Data56,56.0,26.603,24.7,1.903
Data57,57.0,35.192,31.6,3.592
Data58,58.0,26.913,23.3,3.613
Data59,59.0,23.249,19.6,3.649
