,Num,Predicted Val,Actual Val,Bias
Data0,0.0,25.876,24.0,1.876
Data1,1.0,23.531,21.6,1.931
Data2,2.0,30.134,34.7,4.566
Data3,3.0,30.134,33.4,3.266
Data4,4.0,30.134,36.2,6.066
Data5,5.0,23.531,28.7,5.169
Data6,6.0,20.421,22.9,2.479
Data7,7.0,20.416,27.1,6.684
Data8,8.0,19.166,16.5,2.666
Data9,9.0,20.421,18.9,1.521
Data10,10.0,20.416,15.0,5.416
Data11,11.0,20.421,18.9,1.521
Data12,12.0,19.873,21.7,1.827
Data13,13.0,21.717,20.4,1.317
Data14,14.0,22.829,18.2,4.629
Data15,15.0,21.169,19.9,1.269
Data16,16.0,21.717,23.1,1.383
Data17,17.0,20.421,17.5,2.921
Data18,18.0,18.758,20.2,1.442
Data19,19.0,18.758,18.2,0.558
Data20,20.0,16.482,13.6,2.882
Data21,21.0,20.421,19.6,0.821
Data22,22.0,17.185,15.2,1.985
Data23,23.0,16.482,14.5,1.982
Data24,24.0,20.421,15.6,4.821
Data25,25.0,18.758,13.9,4.858
Data26,26.0,18.758,16.6,2.158
Data27,27.0,18.25,14.8,3.45
Data28,28.0,22.236,18.4,3.836
Data29,29.0,30.134,21.0,9.134
Data30,30.0,16.482,12.7,3.782
Data31,31.0,20.421,14.5,5.921
Data32,32.0,16.482,13.2,3.282
Data33,33.0,17.542,13.1,4.442
Data34,34.0,16.482,13.5,2.982
Data35,35.0,21.717,18.9,2.817
Data36,36.0,19.873,20.0,0.127
Data37,37.0,21.169,21.0,0.169
Data38,38.0,21.717,24.7,2.983
Data39,39.0,25.876,30.8,4.924
Data40,40.0,30.134,34.9,4.766
Data41,41.0,30.134,26.6,3.534
Data42,42.0,23.531,25.3,1.769
Data43,43.0,23.531,24.7,1.169
Data44,44.0,21.717,21.2,0.517
Data45,45.0,21.169,19.3,1.869
Data46,46.0,20.421,20.0,0.421
Data47,47.0,19.713,16.6,3.113
Data48,48.0,17.269,14.4,2.869
Data49,49.0,19.873,19.4,0.473
Data50,50.0,20.421,19.7,0.721
Data51,51.0,23.531,20.5,3.031
Data52,52.0,23.531,25.0,1.469
Data53,53.0,21.717,23.4,1.683
Data54,54.0,20.421,18.9,1.521
Data55,55.0,29.064,35.4,6.336
Data56,56.0,23.531,24.7,1.169
Data57,57.0,29.064,31.6,2.536
Data58,58.0,22.984,23.3,0.316
Data59,59.0,21.169,19.6,1.569
Data60,60.0,19.873,18.7,1.173
Data61,61.0,19.873,16.0,3.873
Data62,62.0,23.531,22.2,1.331
Data63,63.0,24.582,25.0,0.418
Data64,64.0,26.927,33.0,6.073
Data65,65.0,23.531,23.5,0.031
Data66,66.0,21.169,19.4,1.769
Data67,67.0,21.717,22.0,0.283
Data68,68.0,19.873,17.4,2.473
Data69,69.0,21.717,20.9,0.817
Data70,70.0,23.531,24.2,0.669
Data71,71.0,21.717,21.7,0.017
Data72,72.0,21.717,22.8,1.083
Data73,73.0,23.531,23.4,0.131
Data74,74.0,23.531,24.1,0.569
Data75,75.0,23.531,21.4,2.131
Data76,76.0,22.236,20.0,2.236
Data77,77.0,23.531,20.8,2.731
Data78,78.0,22.236,21.2,1.036
Data79,79.0,21.169,20.3,0.869
Data80,80.0,30.134,28.0,2.134
Data81,81.0,25.292,23.9,1.392
Data82,82.0,23.531,24.8,1.269
Data83,83.0,23.531,22.9,0.631
Data84,84.0,23.531,23.9,0.369
Data85,85.0,27.636,26.6,1.036
Data86,86.0,20.421,22.5,2.079
Data87,87.0,23.531,22.2,1.331
Data88,88.0,30.134,23.6,6.534
Data89,89.0,30.134,28.7,1.434
Data90,90.0,23.531,22.6,0.931
Data91,91.0,23.531,22.0,1.531
Data92,92.0,23.531,22.9,0.631
Data93,93.0,23.531,25.0,1.469
Data94,94.0,23.531,20.6,2.931
Data95,95.0,27.636,28.4,0.764
Data96,96.0,22.236,21.4,0.836
Data97,97.0,40.845,38.7,2.145
Data98,98.0,40.845,43.8,2.955
Data99,99.0,34.066,33.2,0.866
Data100,100.0,30.134,27.5,2.634
Data101,101.0,30.134,26.5,3.634
Data102,102.0,23.531,18.6,4.931
Data103,103.0,22.236,19.3,2.936
Data104,104.0,22.236,20.1,2.136
Data105,105.0,18.758,19.5,0.742
Data106,106.0,18.329,19.5,1.171
Data107,107.0,22.236,20.4,1.836
Data108,108.0,22.236,19.8,2.436
Data109,109.0,22.236,19.4,2.836
Data110,110.0,22.236,21.7,0.536
Data111,111.0,27.789,22.8,4.989
Data112,112.0,19.873,18.8,1.073
Data113,113.0,19.713,18.7,1.013
Data114,114.0,23.531,18.5,5.031
Data115,115.0,19.873,18.3,1.573
Data116,116.0,22.236,21.2,1.036
Data117,117.0,21.717,19.2,2.517
Data118,118.0,19.873,20.4,0.527
Data119,119.0,19.873,19.3,0.573
Data120,120.0,20.421,22.0,1.579
Data121,121.0,20.421,20.3,0.121
Data122,122.0,19.713,20.5,0.787
Data123,123.0,16.014,17.3,1.286
Data124,124.0,19.713,18.8,0.913
Data125,125.0,20.421,21.4,0.979
Data126,126.0,16.014,15.7,0.314
Data127,127.0,17.921,16.2,1.721
Data128,128.0,22.236,18.0,4.236
Data129,129.0,16.422,14.3,2.122
Data130,130.0,22.236,19.2,3.036
Data131,131.0,22.236,19.6,2.636
Data132,132.0,22.236,23.0,0.764
Data133,133.0,18.758,18.4,0.358
Data134,134.0,18.329,15.6,2.729
Data135,135.0,19.032,18.1,0.932
Data136,136.0,18.329,17.4,0.929
Data137,137.0,22.236,17.1,5.136
Data138,138.0,16.014,13.3,2.714
Data139,139.0,16.717,17.8,1.083
Data140,140.0,16.717,14.0,2.717
Data141,141.0,16.014,14.4,1.614
Data142,142.0,19.166,13.4,5.766
Data143,143.0,18.121,15.6,2.521
Data144,144.0,18.121,11.8,6.321
Data145,145.0,19.372,13.8,5.572
Data146,146.0,18.121,15.6,2.521
Data147,147.0,18.121,14.6,3.521
Data148,148.0,18.121,17.8,0.321
Data149,149.0,18.121,15.4,2.721
Data150,150.0,22.236,21.5,0.736
Data151,151.0,19.873,19.6,0.273
Data152,152.0,19.873,15.3,4.573
Data153,153.0,19.873,19.4,0.473
Data154,154.0,22.236,17.0,5.236
Data155,155.0,22.236,15.6,6.636
Data156,156.0,18.121,13.1,5.021
Data157,157.0,30.134,41.3,11.166
Data158,158.0,21.717,24.3,2.583
Data159,159.0,23.531,23.3,0.231
Data160,160.0,23.531,27.0,3.469
Data161,161.0,37.075,50.0,12.925
Data162,162.0,44.648,50.0,5.352
Data163,163.0,44.648,50.0,5.352
Data164,164.0,19.873,22.7,2.827
Data165,165.0,22.829,25.0,2.171
Data166,166.0,44.788,50.0,5.212
Data167,167.0,19.873,23.8,3.927
Data168,168.0,22.236,23.8,1.564
Data169,169.0,22.236,22.3,0.064
Data170,170.0,19.873,17.4,2.473
Data171,171.0,19.873,19.1,0.773
Data172,172.0,19.873,23.1,3.227
Data173,173.0,23.531,23.6,0.069
Data174,174.0,21.169,22.6,1.431
Data175,175.0,23.531,29.4,5.869
Data176,176.0,21.717,23.2,1.483
Data177,177.0,23.531,24.6,1.069
Data178,178.0,30.134,29.9,0.234
Data179,179.0,30.134,37.2,7.066
Data180,180.0,40.845,39.8,1.045
Data181,181.0,23.531,36.2,12.669
Data182,182.0,30.134,37.9,7.766
Data183,183.0,25.876,32.5,6.624
Data184,184.0,19.873,26.4,6.527
Data185,185.0,22.236,29.6,7.364
Data186,186.0,40.845,50.0,9.155
Data187,187.0,30.134,32.0,1.866
Data188,188.0,23.531,29.8,6.269
Data189,189.0,30.134,34.9,4.766
Data190,190.0,29.064,37.0,7.936
Data191,191.0,29.064,30.5,1.436
Data192,192.0,29.064,36.4,7.336
Data193,193.0,30.134,31.1,0.966
Data194,194.0,25.876,29.1,3.224
Data195,195.0,43.853,50.0,6.147
Data196,196.0,33.317,33.3,0.017
Data197,197.0,28.655,30.3,1.645
Data198,198.0,33.317,34.6,1.283
Data199,199.0,29.064,34.9,5.836
Data200,200.0,29.064,32.9,3.836
Data201,201.0,23.531,24.1,0.569
Data202,202.0,40.907,42.3,1.393
Data203,203.0,43.853,48.5,4.647
Data204,204.0,43.853,50.0,6.147
Data205,205.0,20.421,22.6,2.179
Data206,206.0,22.236,24.4,2.164
Data207,207.0,19.166,22.5,3.334
Data208,208.0,20.421,24.4,3.979
Data209,209.0,18.05,20.0,1.95
Data210,210.0,19.713,21.7,1.987
Data211,211.0,18.05,19.3,1.25
Data212,212.0,19.166,22.4,3.234
Data213,213.0,23.531,28.1,4.569
Data214,214.0,17.269,23.7,6.431
Data215,215.0,23.531,25.0,1.469
Data216,216.0,19.873,23.3,3.427
