,Num,Predicted Val,Actual Val,Bias
Data0,0.0,23.114,24.0,0.886
Data1,1.0,23.188,21.6,1.588
Data2,2.0,29.853,34.7,4.847
Data3,3.0,26.245,33.4,7.155
Data4,4.0,29.853,36.2,6.347
Data5,5.0,24.81,28.7,3.89
Data6,6.0,22.281,22.9,0.619
Data7,7.0,20.848,27.1,6.252
Data8,8.0,20.848,16.5,4.348
Data9,9.0,21.497,18.9,2.597
Data10,10.0,22.404,15.0,7.404
Data11,11.0,21.497,18.9,2.597
Data12,12.0,21.497,21.7,0.203
Data13,13.0,22.838,20.4,2.438
Data14,14.0,21.216,18.2,3.016
Data15,15.0,22.838,19.9,2.938
Data16,16.0,22.838,23.1,0.262
Data17,17.0,20.433,17.5,2.933
Data18,18.0,21.216,20.2,1.016
Data19,19.0,21.216,18.2,3.016
Data20,20.0,20.433,13.6,6.833
Data21,21.0,20.433,19.6,0.833
Data22,22.0,20.433,15.2,5.233
Data23,23.0,20.433,14.5,5.933
Data24,24.0,20.433,15.6,4.833
Data25,25.0,20.433,13.9,6.533
Data26,26.0,20.433,16.6,3.833
Data27,27.0,20.433,14.8,5.633
Data28,28.0,21.34,18.4,2.94
Data29,29.0,22.123,21.0,1.123
Data30,30.0,19.784,12.7,7.084
Data31,31.0,20.433,14.5,5.933
Data32,32.0,19.784,13.2,6.584
Data33,33.0,20.433,13.1,7.333
Data34,34.0,20.433,13.5,6.933
Data35,35.0,22.281,18.9,3.381
Data36,36.0,22.281,20.0,2.281
Data37,37.0,23.903,21.0,2.903
Data38,38.0,22.281,24.7,2.419
Data39,39.0,24.824,30.8,5.976
Data40,40.0,27.913,34.9,6.987
Data41,41.0,24.954,26.6,1.646
Data42,42.0,23.903,25.3,1.397
Data43,43.0,23.903,24.7,0.797
Data44,44.0,22.281,21.2,1.081
Data45,45.0,22.281,19.3,2.981
Data46,46.0,21.497,20.0,1.497
Data47,47.0,21.497,16.6,4.897
Data48,48.0,19.933,14.4,5.533
Data49,49.0,21.497,19.4,2.097
Data50,50.0,23.15,19.7,3.45
Data51,51.0,24.057,20.5,3.557
Data52,52.0,24.824,25.0,0.176
Data53,53.0,23.15,23.4,0.25
Data54,54.0,23.268,18.9,4.368
Data55,55.0,32.592,35.4,2.808
Data56,56.0,24.824,24.7,0.124
Data57,57.0,26.26,31.6,5.34
Data58,58.0,24.824,23.3,1.524
Data59,59.0,23.15,19.6,3.55
Data60,60.0,23.15,18.7,4.45
Data61,61.0,22.502,16.0,6.502
Data62,62.0,24.824,22.2,2.624
Data63,63.0,24.202,25.0,0.798
Data64,64.0,27.146,33.0,5.854
Data65,65.0,24.824,23.5,1.324
Data66,66.0,23.268,19.4,3.868
Data67,67.0,22.281,22.0,0.281
Data68,68.0,21.497,17.4,4.097
Data69,69.0,22.281,20.9,1.381
Data70,70.0,23.903,24.2,0.297
Data71,71.0,22.281,21.7,0.581
Data72,72.0,23.903,22.8,1.103
Data73,73.0,23.903,23.4,0.503
Data74,74.0,23.903,24.1,0.197
Data75,75.0,23.903,21.4,2.503
Data76,76.0,22.281,20.0,2.281
Data77,77.0,22.281,20.8,1.481
Data78,78.0,22.281,21.2,1.081
Data79,79.0,22.281,20.3,1.981
Data80,80.0,24.968,28.0,3.032
Data81,81.0,24.824,23.9,0.924
Data82,82.0,24.824,24.8,0.024
Data83,83.0,24.824,22.9,1.924
Data84,84.0,23.188,23.9,0.712
Data85,85.0,24.81,26.6,1.79
Data86,86.0,22.404,22.5,0.096
Data87,87.0,24.81,22.2,2.61
Data88,88.0,27.899,23.6,4.299
Data89,89.0,27.899,28.7,0.801
Data90,90.0,24.81,22.6,2.21
Data91,91.0,24.81,22.0,2.81
Data92,92.0,23.917,22.9,1.017
Data93,93.0,23.917,25.0,1.083
Data94,94.0,23.15,20.6,2.55
Data95,95.0,26.101,28.4,2.299
Data96,96.0,23.188,21.4,1.788
Data97,97.0,36.856,38.7,1.844
Data98,98.0,36.856,43.8,6.944
Data99,99.0,35.072,33.2,1.872
Data100,100.0,23.332,27.5,4.168
Data101,101.0,24.954,26.5,1.546
Data102,102.0,24.479,18.6,5.879
Data103,103.0,21.497,19.3,2.197
Data104,104.0,22.281,20.1,2.181
Data105,105.0,21.497,19.5,1.997
Data106,106.0,21.497,19.5,1.997
Data107,107.0,21.497,20.4,1.097
Data108,108.0,23.188,19.8,3.388
Data109,109.0,21.497,19.4,2.097
Data110,110.0,21.497,21.7,0.203
Data111,111.0,22.123,22.8,0.677
Data112,112.0,20.433,18.8,1.633
Data113,113.0,20.433,18.7,1.733
Data114,114.0,21.216,18.5,2.716
Data115,115.0,20.433,18.3,2.133
Data116,116.0,21.216,21.2,0.016
Data117,117.0,21.216,19.2,2.016
Data118,118.0,20.433,20.4,0.033
Data119,119.0,20.433,19.3,1.133
Data120,120.0,19.272,22.0,2.728
Data121,121.0,19.272,20.3,1.028
Data122,122.0,19.272,20.5,1.228
Data123,123.0,17.709,17.3,0.409
Data124,124.0,19.272,18.8,0.472
Data125,125.0,19.272,21.4,2.128
Data126,126.0,17.709,15.7,2.009
Data127,127.0,18.733,16.2,2.533
Data128,128.0,19.272,18.0,1.272
Data129,129.0,18.733,14.3,4.433
Data130,130.0,20.056,19.2,0.856
Data131,131.0,20.056,19.6,0.456
Data132,132.0,20.056,23.0,2.944
Data133,133.0,19.272,18.4,0.872
Data134,134.0,19.893,15.6,4.293
Data135,135.0,19.272,18.1,1.172
Data136,136.0,19.272,17.4,1.872
Data137,137.0,19.272,17.1,2.172
Data138,138.0,19.272,13.3,5.972
Data139,139.0,16.818,17.8,0.982
Data140,140.0,17.709,14.0,3.709
Data141,141.0,14.714,14.4,0.314
Data142,142.0,18.829,13.4,5.429
Data143,143.0,14.714,15.6,0.886
Data144,144.0,14.714,11.8,2.914
Data145,145.0,18.329,13.8,4.529
Data146,146.0,19.893,15.6,4.293
Data147,147.0,14.714,14.6,0.114
Data148,148.0,17.169,17.8,0.631
Data149,149.0,18.733,15.4,3.333
Data150,150.0,18.733,21.5,2.767
Data151,151.0,18.733,19.6,0.867
Data152,152.0,19.516,15.3,4.216
Data153,153.0,19.893,19.4,0.493
Data154,154.0,19.893,17.0,2.893
Data155,155.0,19.893,15.6,4.293
Data156,156.0,19.893,13.1,6.793
Data157,157.0,24.636,41.3,16.664
Data158,158.0,22.838,24.3,1.462
Data159,159.0,22.298,23.3,1.002
Data160,160.0,22.838,27.0,4.162
Data161,161.0,36.432,50.0,13.568
Data162,162.0,36.856,50.0,13.144
Data163,163.0,36.856,50.0,13.144
Data164,164.0,20.056,22.7,2.644
Data165,165.0,21.216,25.0,3.784
Data166,166.0,36.856,50.0,13.144
Data167,167.0,21.216,23.8,2.584
Data168,168.0,21.216,23.8,2.584
Data169,169.0,21.216,22.3,1.084
Data170,170.0,20.433,17.4,3.033
Data171,171.0,20.056,19.1,0.956
Data172,172.0,21.497,23.1,1.603
Data173,173.0,24.81,23.6,1.21
Data174,174.0,22.281,22.6,0.319
Data175,175.0,24.81,29.4,4.59
Data176,176.0,23.188,23.2,0.012
Data177,177.0,24.81,24.6,0.21
Data178,178.0,27.899,29.9,2.001
Data179,179.0,27.899,37.2,9.301
Data180,180.0,35.072,39.8,4.728
Data181,181.0,23.188,36.2,13.012
Data182,182.0,29.853,37.9,8.047
Data183,183.0,24.81,32.5,7.69
Data184,184.0,21.497,26.4,4.903
Data185,185.0,22.404,29.6,7.196
Data186,186.0,36.856,50.0,13.144
Data187,187.0,30.418,32.0,1.582
Data188,188.0,27.329,29.8,2.471
Data189,189.0,32.372,34.9,2.528
Data190,190.0,27.913,37.0,9.087
Data191,191.0,27.913,30.5,2.587
Data192,192.0,29.868,36.4,6.532
Data193,193.0,27.913,31.1,3.187
Data194,194.0,26.115,29.1,2.985
Data195,195.0,38.821,50.0,11.179
Data196,196.0,37.048,33.3,3.748
Data197,197.0,32.368,30.3,2.068
Data198,198.0,37.048,34.6,2.448
Data199,199.0,27.913,34.9,6.987
Data200,200.0,29.868,32.9,3.032
Data201,201.0,24.824,24.1,0.724
Data202,202.0,35.086,42.3,7.214
Data203,203.0,39.375,48.5,9.125
Data204,204.0,43.867,50.0,6.133
Data205,205.0,22.281,22.6,0.319
Data206,206.0,22.281,24.4,2.119
Data207,207.0,21.497,22.5,1.003
Data208,208.0,21.497,24.4,2.903
Data209,209.0,18.773,20.0,1.227
Data210,210.0,21.497,21.7,0.203
Data211,211.0,18.773,19.3,0.527
Data212,212.0,21.497,22.4,0.903
Data213,213.0,22.281,28.1,5.819
Data214,214.0,19.933,23.7,3.767
Data215,215.0,22.281,25.0,2.719
Data216,216.0,20.433,23.3,2.867
Data217,217.0,21.216,28.7,7.484
Data218,218.0,20.433,21.5,1.067
Data219,219.0,21.216,23.0,1.784
Data220,220.0,26.277,26.7,0.423
Data221,221.0,22.404,21.7,0.704
Data222,222.0,24.985,27.5,2.515
Data223,223.0,24.81,30.1,5.29
Data224,224.0,36.856,44.8,7.944
Data225,225.0,36.856,50.0,13.144
Data226,226.0,36.856,37.6,0.744
Data227,227.0,29.853,31.6,1.747
Data228,228.0,35.072,46.7,11.628
Data229,229.0,24.81,31.5,6.69
Data230,230.0,22.281,24.3,2.019
Data231,231.0,35.072,31.7,3.372
Data232,232.0,36.856,41.7,4.844
Data233,233.0,36.856,48.3,11.444
Data234,234.0,27.899,29.0,1.101
Data235,235.0,22.281,24.0,1.719
Data236,236.0,23.188,25.1,1.912
Data237,237.0,35.072,31.5,3.572
Data238,238.0,24.824,23.7,1.124
Data239,239.0,24.824,23.3,1.524
Data240,240.0,25.953,22.0,3.953
Data241,241.0,22.864,20.1,2.764
Data242,242.0,22.864,22.2,0.664
Data243,243.0,24.824,23.7,1.124
Data244,244.0,21.957,17.6,4.357
Data245,245.0,22.502,18.5,4.002
Data246,246.0,23.15,24.3,1.15
Data247,247.0,22.864,20.5,2.364
Data248,248.0,24.057,24.5,0.443
Data249,249.0,24.824,26.2,1.376
Data250,250.0,24.824,24.4,0.424
Data251,251.0,24.824,24.8,0.024
Data252,252.0,29.676,29.6,0.076
Data253,253.0,41.157,42.8,1.643
Data254,254.0,24.824,21.9,2.924
Data255,255.0,23.268,20.9,2.368
Data256,256.0,35.086,44.0,8.914
Data257,257.0,43.867,50.0,6.133
Data258,258.0,36.27,36.0,0.27
Data259,259.0,31.304,30.1,1.204
Data260,260.0,28.794,33.8,5.006
Data261,261.0,36.27,43.1,6.83
Data262,262.0,43.867,48.8,4.933
Data263,263.0,32.583,31.0,1.583
Data264,264.0,28.794,36.5,7.706
Data265,265.0,20.97,22.8,1.83
Data266,266.0,26.84,30.7,3.86
Data267,267.0,39.402,50.0,10.598
Data268,268.0,39.541,43.5,3.959
Data269,269.0,21.957,20.7,1.257
Data270,270.0,21.957,21.1,0.857
Data271,271.0,24.824,25.2,0.376
Data272,272.0,22.864,24.4,1.536
Data273,273.0,39.373,35.2,4.173
Data274,274.0,28.572,32.4,3.828
Data275,275.0,26.622,32.0,5.378
Data276,276.0,36.306,33.2,3.106
Data277,277.0,28.572,33.1,4.528
Data278,278.0,24.824,29.1,4.276
Data279,279.0,30.418,35.1,4.682
Data280,280.0,43.867,45.4,1.533
Data281,281.0,29.676,35.4,5.724
Data282,282.0,38.8,46.0,7.2
Data283,283.0,41.325,50.0,8.675
Data284,284.0,27.913,32.2,4.287
Data285,285.0,24.824,22.0,2.824
Data286,286.0,26.115,20.1,6.015
Data287,287.0,24.824,23.2,1.624
Data288,288.0,24.824,22.3,2.524
Data289,289.0,24.824,24.8,0.024
Data290,290.0,27.913,28.5,0.587
Data291,291.0,29.868,37.3,7.432
Data292,292.0,24.824,27.9,3.076
Data293,293.0,23.903,23.9,0.003
Data294,294.0,22.281,21.7,0.581
Data295,295.0,23.903,28.6,4.697
Data296,296.0,23.903,27.1,3.197
Data297,297.0,21.497,20.3,1.197
Data298,298.0,24.824,22.5,2.324
Data299,299.0,27.913,29.0,1.087
Data300,300.0,27.913,24.8,3.113
Data301,301.0,24.824,22.0,2.824
Data302,302.0,24.824,26.4,1.576
Data303,303.0,27.913,33.1,5.187
Data304,304.0,31.631,36.1,4.469
Data305,305.0,26.115,28.4,2.285
Data306,306.0,36.849,33.4,3.449
Data307,307.0,27.913,28.2,0.287
Data308,308.0,23.745,22.8,0.945
Data309,309.0,21.216,20.3,0.916
Data310,310.0,19.516,16.1,3.416
Data311,311.0,22.838,22.1,0.738
Data312,312.0,21.216,19.4,1.816
Data313,313.0,22.838,21.6,1.238
Data314,314.0,22.123,23.8,1.677
Data315,315.0,21.216,16.2,5.016
Data316,316.0,20.433,17.8,2.633
Data317,317.0,20.433,19.8,0.633
Data318,318.0,21.216,23.1,1.884
