,Num,Predicted Val,Actual Val,Bias
Data0,0.0,27.439,24.0,3.439
Data1,1.0,22.855,21.6,1.255
Data2,2.0,29.626,34.7,5.074
Data3,3.0,29.626,33.4,3.774
Data4,4.0,32.14,36.2,4.06
Data5,5.0,27.439,28.7,1.261
Data6,6.0,20.735,22.9,2.165
Data7,7.0,18.66,27.1,8.44
Data8,8.0,15.323,16.5,1.177
Data9,9.0,18.66,18.9,0.24
Data10,10.0,18.66,15.0,3.66
Data11,11.0,20.735,18.9,1.835
Data12,12.0,20.735,21.7,0.965
Data13,13.0,20.735,20.4,0.335
Data14,14.0,20.735,18.2,2.535
Data15,15.0,20.735,19.9,0.835
Data16,16.0,21.545,23.1,1.555
Data17,17.0,20.735,17.5,3.235
Data18,18.0,20.735,20.2,0.535
Data19,19.0,20.735,18.2,2.535
Data20,20.0,16.517,13.6,2.917
Data21,21.0,19.781,19.6,0.181
Data22,22.0,18.66,15.2,3.46
Data23,23.0,17.536,14.5,3.036
Data24,24.0,18.66,15.6,3.06
Data25,25.0,18.66,13.9,4.76
Data26,26.0,18.66,16.6,2.06
Data27,27.0,18.66,14.8,3.86
Data28,28.0,20.591,18.4,2.191
Data29,29.0,23.786,21.0,2.786
Data30,30.0,16.517,12.7,3.817
Data31,31.0,18.66,14.5,4.16
Data32,32.0,15.323,13.2,2.123
Data33,33.0,18.675,13.1,5.575
Data34,34.0,18.66,13.5,5.16
Data35,35.0,20.735,18.9,1.835
Data36,36.0,20.735,20.0,0.735
Data37,37.0,20.735,21.0,0.265
Data38,38.0,20.735,24.7,3.965
Data39,39.0,27.439,30.8,3.361
Data40,40.0,32.14,34.9,2.76
Data41,41.0,29.626,26.6,3.026
Data42,42.0,24.98,25.3,0.32
Data43,43.0,22.855,24.7,1.845
Data44,44.0,20.735,21.2,0.465
Data45,45.0,20.735,19.3,1.435
Data46,46.0,20.735,20.0,0.735
Data47,47.0,18.66,16.6,2.06
Data48,48.0,15.323,14.4,0.923
Data49,49.0,20.735,19.4,1.335
Data50,50.0,20.735,19.7,1.035
Data51,51.0,20.735,20.5,0.235
Data52,52.0,27.439,25.0,2.439
Data53,53.0,20.735,23.4,2.665
Data54,54.0,20.735,18.9,1.835
Data55,55.0,32.14,35.4,3.26
Data56,56.0,26.507,24.7,1.807
Data57,57.0,29.342,31.6,2.258
Data58,58.0,23.502,23.3,0.202
Data59,59.0,20.735,19.6,1.135
Data60,60.0,20.735,18.7,2.035
Data61,61.0,18.66,16.0,2.66
Data62,62.0,25.029,22.2,2.829
Data63,63.0,27.216,25.0,2.216
Data64,64.0,27.216,33.0,5.784
Data65,65.0,26.507,23.5,3.007
Data66,66.0,20.735,19.4,1.335
Data67,67.0,20.735,22.0,1.265
Data68,68.0,20.735,17.4,3.335
Data69,69.0,20.735,20.9,0.165
Data70,70.0,24.382,24.2,0.182
Data71,71.0,20.735,21.7,0.965
Data72,72.0,24.98,22.8,2.18
Data73,73.0,22.855,23.4,0.545
Data74,74.0,22.855,24.1,1.245
Data75,75.0,22.855,21.4,1.455
Data76,76.0,20.735,20.0,0.735
Data77,77.0,20.735,20.8,0.065
Data78,78.0,20.735,21.2,0.465
Data79,79.0,20.735,20.3,0.435
Data80,80.0,29.626,28.0,1.626
Data81,81.0,25.313,23.9,1.413
Data82,82.0,22.855,24.8,1.945
Data83,83.0,22.855,22.9,0.045
Data84,84.0,22.855,23.9,1.045
Data85,85.0,25.313,26.6,1.287
Data86,86.0,20.735,22.5,1.765
Data87,87.0,21.545,22.2,0.655
Data88,88.0,29.626,23.6,6.026
Data89,89.0,29.626,28.7,0.926
Data90,90.0,22.855,22.6,0.255
Data91,91.0,22.855,22.0,0.855
Data92,92.0,22.855,22.9,0.045
Data93,93.0,22.855,25.0,2.145
Data94,94.0,21.545,20.6,0.945
Data95,95.0,25.313,28.4,3.087
Data96,96.0,20.735,21.4,0.665
Data97,97.0,44.859,38.7,6.159
Data98,98.0,41.446,43.8,2.354
Data99,99.0,30.014,33.2,3.186
Data100,100.0,27.216,27.5,0.284
Data101,101.0,27.216,26.5,0.716
Data102,102.0,22.192,18.6,3.592
Data103,103.0,20.735,19.3,1.435
Data104,104.0,20.735,20.1,0.635
Data105,105.0,18.66,19.5,0.84
Data106,106.0,18.66,19.5,0.84
Data107,107.0,20.735,20.4,0.335
Data108,108.0,21.238,19.8,1.438
Data109,109.0,18.66,19.4,0.74
Data110,110.0,20.735,21.7,0.965
Data111,111.0,25.689,22.8,2.889
Data112,112.0,18.66,18.8,0.14
Data113,113.0,18.66,18.7,0.04
Data114,114.0,22.192,18.5,3.692
Data115,115.0,18.66,18.3,0.36
Data116,116.0,20.735,21.2,0.465
Data117,117.0,20.735,19.2,1.535
Data118,118.0,20.735,20.4,0.335
Data119,119.0,20.735,19.3,1.435
